,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
6,New Super Mario Bros.,DS,2006.0,Platform,11.28,9.14,6.5,2.88,89.0,8.5,E
10,Nintendogs,DS,2005.0,Simulation,9.05,10.95,1.93,2.74,,,
11,Mario Kart DS,DS,2005.0,Racing,9.71,7.47,4.13,1.9,91.0,8.6,E
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,4.74,9.2,4.16,2.04,77.0,7.9,E
20,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,6.38,4.46,6.04,1.36,,,
26,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,3.43,5.35,5.32,1.18,77.0,7.1,E
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,5.51,3.17,5.65,0.8,,,
43,Animal Crossing: Wild World,DS,2005.0,Simulation,2.5,3.45,5.33,0.86,86.0,8.7,E
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,4.34,2.71,3.96,0.76,,,
59,Super Mario 64,DS,2004.0,Platform,5.01,3.07,1.25,0.97,,,
74,Mario Party DS,DS,2007.0,Misc,4.4,1.85,1.98,0.68,72.0,7.8,E
83,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,2.79,1.72,3.14,0.41,,,
90,Pokémon Platinum Version,DS,2008.0,Role-Playing,2.76,1.72,2.69,0.54,83.0,8.5,E
123,Big Brain Academy,DS,2005.0,Misc,1.66,2.75,1.6,0.62,74.0,7.4,E
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,0.63,0.67,4.35,0.15,87.0,8.8,E10+
156,Cooking Mama,DS,2006.0,Simulation,3.07,1.91,0.07,0.57,67.0,7.2,E
188,Professor Layton and the Curious Village,DS,2007.0,Puzzle,1.21,2.43,1.03,0.52,85.0,8.6,E
198,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,1.63,2.45,0.44,0.57,,,
200,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,1.85,1.8,0.95,0.48,90.0,8,E
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,1.83,1.19,1.54,0.37,,,
222,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,2.83,1.48,0.0,0.45,80.0,5.4,E
308,Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,0.9,1.76,0.92,0.37,84.0,8.8,E10+
324,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,0.86,1.56,1.05,0.35,59.0,4,E
328,Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,2.23,0.47,0.81,0.26,,,
340,Friend Collection,DS,2009.0,Misc,0.0,0.0,3.67,0.0,,,
343,MySims,DS,2007.0,Simulation,1.58,1.59,0.08,0.41,67.0,7.3,E
360,Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,1.6,1.49,0.1,0.39,70.0,8,E
382,Mario & Sonic at the Olympic Winter Games,DS,2009.0,Sports,1.21,1.62,0.27,0.37,,,
383,Guitar Hero: On Tour,DS,2008.0,Misc,2.1,1.01,0.01,0.35,71.0,8.8,E10+
384,Clubhouse Games,DS,2006.0,Misc,0.59,1.79,0.73,0.34,83.0,8.4,E
403,English Training: Have Fun Improving Your Skills!,DS,2006.0,Misc,0.0,0.99,2.32,0.02,,,
