,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
643,Sonic Adventure,DC,1998.0,Platform,1.26,0.61,0.46,0.08,,,
966,Crazy Taxi,DC,2000.0,Racing,1.1,0.51,0.12,0.08,,,
1679,NFL 2K,DC,1999.0,Sports,1.12,0.05,0.0,0.02,,,
1712,Shenmue,DC,1999.0,Adventure,0.52,0.24,0.38,0.04,88.0,9.4,T
1787,Resident Evil - Code: Veronica,DC,2000.0,Action,0.41,0.23,0.47,0.03,,,
1877,NFL 2K1,DC,2000.0,Sports,1.02,0.05,0.0,0.02,97.0,6,E
3815,Seaman,DC,1999.0,Simulation,0.0,0.0,0.52,0.0,82.0,8.4,T
4665,Sega Rally Championship 2,DC,1999.0,Racing,0.0,0.0,0.41,0.0,,,
5145,Virtua Fighter 3tb,DC,1998.0,Fighting,0.0,0.0,0.37,0.0,,,
5240,J-League Pro Soccer Club o Tsukurou!,DC,1999.0,Sports,0.0,0.0,0.36,0.0,,,
5350,SoulCalibur,DC,1999.0,Fighting,0.0,0.0,0.34,0.0,98.0,8.8,T
5514,Sakura Wars 3: Paris wa Moeteiru ka,DC,2001.0,Adventure,0.0,0.0,0.33,0.0,,,
5693,Virtua Striker 2,DC,1999.0,Sports,0.0,0.0,0.32,0.0,,,
6041,"Sakura Wars 4: Koi Seyo,Otome",DC,2002.0,Adventure,0.0,0.0,0.29,0.0,,,
6426,The House of the Dead 2,DC,1998.0,Shooter,0.0,0.0,0.26,0.0,,,
6964,Pro Yakyuu Team o Tsukurou!,DC,1999.0,Sports,0.0,0.0,0.23,0.0,,,
7230,Capcom vs. SNK,DC,2000.0,Fighting,0.0,0.0,0.22,0.0,80.0,9,T
7520,Phantasy Star Online,DC,2000.0,Role-Playing,0.0,0.0,0.2,0.0,89.0,9.1,T
7642,Grandia II,DC,2000.0,Role-Playing,0.0,0.0,0.2,0.0,90.0,8.8,T
7977,Phantasy Star Online Ver. 2,DC,2001.0,Role-Playing,0.0,0.0,0.19,0.0,80.0,8.9,T
8103,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000.0,Sports,0.0,0.0,0.18,0.0,,,
8306,Tokyo Xtreme Racer,DC,1999.0,Racing,0.0,0.0,0.17,0.0,,,
8904,Shenmue II,DC,2001.0,Adventure,0.0,0.0,0.15,0.0,88.0,9.4,T
9055,Power Stone,DC,1998.0,Fighting,0.0,0.0,0.14,0.0,,,
9077,Marvel vs. Capcom 2: New Age of Heroes,DC,2000.0,Fighting,0.0,0.0,0.14,0.0,,,
9165,Dead or Alive 2,DC,2000.0,Fighting,0.0,0.0,0.14,0.0,,,
9558,Sega GT,DC,2000.0,Racing,0.0,0.0,0.13,0.0,84.0,7.7,E
9661,Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001.0,Fighting,0.0,0.0,0.12,0.0,,,
9844,Sonic Adventure 2,DC,2001.0,Platform,0.0,0.0,0.12,0.0,89.0,8.6,E
10362,Sakura Wars,DC,2000.0,Adventure,0.0,0.0,0.11,0.0,,,
10522,The King of Fighters: Dream Match 1999,DC,1999.0,Fighting,0.0,0.0,0.1,0.0,,,
10535,Blue Stinger,DC,1999.0,Adventure,0.0,0.0,0.1,0.0,,,
10657,Marvel vs. Capcom: Clash of Super Heroes,DC,1999.0,Fighting,0.0,0.0,0.1,0.0,,,
10685,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,2000.0,Adventure,0.0,0.0,0.1,0.0,,,
10998,Skies of Arcadia,DC,2000.0,Role-Playing,0.0,0.0,0.09,0.0,93.0,9.4,T
11241,Sega Bass Fishing,DC,1999.0,Sports,0.0,0.0,0.09,0.0,,,
11311,Derby Tsuku: Derby Uma o Tsukurou!,DC,2000.0,Sports,0.0,0.0,0.08,0.0,,,
11380,Godzilla Generations,DC,1998.0,Action,0.0,0.0,0.08,0.0,,,
11538,Sentimental Graffiti 2,DC,2000.0,Adventure,0.0,0.0,0.08,0.0,,,
11927,The King of Fighters: Evolution,DC,2000.0,Fighting,0.0,0.0,0.07,0.0,,,
12095,Crazy Taxi 2,DC,2001.0,Racing,0.0,0.0,0.07,0.0,82.0,8.1,T
12297,July,DC,1998.0,Adventure,0.0,0.0,0.06,0.0,,,
12302,Kanon,DC,2000.0,Adventure,0.0,0.0,0.06,0.0,,,
12507,PenPen TriIceLon,DC,1998.0,Racing,0.0,0.0,0.06,0.0,,,
12850,Jikkyou Powerful Pro Yakyuu DreamCast Edition,DC,2000.0,Sports,0.0,0.0,0.06,0.0,,,
13109,The Typing of the Dead,DC,2000.0,Shooter,0.0,0.0,0.05,0.0,83.0,7.8,M
13255,NBA 2K,DC,1999.0,Sports,0.0,0.0,0.05,0.0,,,
13282,Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001.0,Fighting,0.0,0.0,0.05,0.0,,,
13931,Gundam Battle Online,DC,2001.0,Action,0.0,0.0,0.04,0.0,,,
14006,Pia Carrot e Youkoso!! 2.5,DC,2008.0,Adventure,0.0,0.0,0.04,0.0,,,
14054,Fighting Vipers 2,DC,2000.0,Fighting,0.0,0.0,0.04,0.0,,,
15997,Triggerheart Exelica,DC,2007.0,Shooter,0.0,0.0,0.02,0.0,,,
