,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,6.06,3.9,5.38,0.5,,,
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,4.34,2.65,3.15,0.35,,,
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,2.57,1.58,2.06,0.21,76.0,9,E
162,Super Mario Advance,GBA,2001.0,Platform,3.14,1.24,0.91,0.2,84.0,7.8,E
166,Mario Kart: Super Circuit,GBA,2001.0,Racing,2.62,1.64,0.99,0.23,93.0,8.3,E
167,Super Mario World,GBA,2001.0,Platform,3.21,1.11,0.95,0.2,,,
187,Super Mario Bros. 3,GBA,2003.0,Platform,2.93,1.25,0.83,0.2,,,
266,Namco Museum,GBA,2001.0,Misc,3.0,1.11,0.05,0.07,79.0,7.3,E
489,Pac-Man Collection,GBA,2001.0,Puzzle,2.07,0.77,0.05,0.05,79.0,7.8,E
495,Super Mario World 2: Yoshi's Island,GBA,2002.0,Platform,1.75,0.45,0.62,0.09,,,
519,Finding Nemo,GBA,2003.0,Action,1.59,1.05,0.04,0.14,,7,E
553,The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,1.75,0.52,0.33,0.1,95.0,9.1,E
657,Frogger's Adventures: Temple of the Frog,GBA,,Adventure,2.15,0.18,0.0,0.07,73.0,tbd,E
705,Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,1.22,0.1,0.91,0.04,81.0,8.9,E
706,Wario Land 4,GBA,2001.0,Platform,0.9,0.73,0.54,0.09,88.0,8.9,E
716,Sonic Advance,GBA,2001.0,Platform,1.19,0.71,0.22,0.13,87.0,8.1,E
722,Spyro: Season of Ice,GBA,2001.0,Platform,1.29,0.83,0.0,0.11,74.0,8,E
755,Mario & Luigi: Superstar Saga,GBA,2003.0,Role-Playing,1.48,0.17,0.47,0.06,,,
776,Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,0.82,0.37,0.89,0.05,87.0,7.8,E
815,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001.0,Strategy,1.64,0.36,0.0,0.07,,,
820,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005.0,Role-Playing,0.71,0.52,0.74,0.08,,,
821,The Incredibles,GBA,2004.0,Action,1.15,0.77,0.04,0.1,55.0,tbd,E
836,Donkey Kong Country,GBA,2003.0,Platform,1.2,0.48,0.29,0.07,78.0,8.9,E
858,Harry Potter and the Chamber of Secrets,GBA,2002.0,Action,1.21,0.64,0.05,0.09,76.0,7.9,E
941,Kingdom Hearts: Chain of Memories,GBA,2004.0,Role-Playing,1.26,0.18,0.35,0.06,76.0,7.9,E
950,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005.0,Misc,1.31,0.49,0.0,0.03,,,
971,Sonic Advance 2,GBA,2002.0,Platform,0.93,0.59,0.21,0.07,83.0,8.3,E
995,Golden Sun,GBA,2001.0,Role-Playing,0.93,0.38,0.4,0.06,91.0,9.3,E
1001,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007.0,Action,1.26,0.47,0.0,0.03,,,
1017,2 Games in 1: Disney Princess & The Lion King,GBA,2004.0,Misc,1.25,0.46,0.0,0.03,,,
1032,Crash Bandicoot: The Huge Adventure,GBA,2002.0,Platform,0.95,0.7,0.0,0.08,78.0,7.9,E
1047,Tetris Worlds,GBA,2001.0,Puzzle,1.25,0.39,0.0,0.06,65.0,tbd,E
1065,Harry Potter and the Sorcerer's Stone,GBA,2001.0,Action,0.87,0.66,0.08,0.08,64.0,7.1,E
1066,Dragon Ball Z: The Legacy of Goku,GBA,2002.0,Role-Playing,1.52,0.12,0.0,0.05,53.0,6.9,E
1081,Metroid Fusion,GBA,2002.0,Action,1.18,0.27,0.17,0.06,92.0,9.1,E
1089,"Monsters, Inc.",GBA,2001.0,Adventure,0.59,0.95,0.03,0.1,,tbd,E
1117,Kirby & the Amazing Mirror,GBA,2004.0,Platform,0.8,0.05,0.76,0.03,,,
1173,Spyro 2: Season of Flame,GBA,2002.0,Platform,0.85,0.65,0.0,0.08,76.0,7.6,E
1198,Pokemon Pinball: Ruby & Sapphire,GBA,2003.0,Misc,0.68,0.38,0.44,0.05,,,
1292,Disney Princess,GBA,2003.0,Platform,1.04,0.37,0.0,0.06,,tbd,E
1298,The SpongeBob SquarePants Movie,GBA,2004.0,Platform,1.02,0.38,0.0,0.06,,tbd,E
1342,Classic NES Series: Super Mario Bros.,GBA,2004.0,Platform,0.0,0.0,1.39,0.03,84.0,8.6,E
1352,The Legend of Zelda: The Minish Cap,GBA,2004.0,Action,0.89,0.22,0.22,0.1,89.0,9,E
1382,Sonic Advance 3,GBA,2004.0,Platform,0.74,0.52,0.08,0.06,79.0,8.4,E
1421,Crash Bandicoot 2: N-Tranced,GBA,2003.0,Platform,0.63,0.66,0.0,0.07,75.0,7.8,E
1469,Spider-Man: The Movie,GBA,2002.0,Action,0.92,0.35,0.01,0.05,,,
1472,The Sims: Bustin' Out,GBA,2003.0,Simulation,0.93,0.35,0.0,0.06,,,
1488,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003.0,Role-Playing,0.31,0.04,0.96,0.01,,,
1507,Yu-Gi-Oh! The Sacred Cards,GBA,2002.0,Role-Playing,0.94,0.35,0.0,0.02,,,
1520,Mega Man Battle Network 3 Blue / White Version,GBA,2002.0,Role-Playing,0.39,0.02,0.85,0.03,,,
1524,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003.0,Platform,0.93,0.34,0.0,0.02,49.0,6.2,E
1625,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003.0,Platform,0.88,0.33,0.0,0.02,,7.3,E
1629,Donkey Kong Country 2,GBA,2004.0,Platform,0.79,0.27,0.12,0.04,80.0,9.1,E
1631,"WarioWare, Inc.: Mega MicroGame$",GBA,2003.0,Puzzle,0.4,0.11,0.7,0.02,,,
1645,Golden Sun: The Lost Age,GBA,2002.0,Role-Playing,0.61,0.27,0.27,0.07,86.0,9.5,E
1667,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007.0,Misc,0.87,0.32,0.0,0.02,,,
1689,The Simpsons: Road Rage,GBA,2003.0,Racing,0.86,0.32,0.0,0.02,55.0,6.8,E
1692,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002.0,Platform,0.92,0.23,0.0,0.04,71.0,7.7,E
1703,Final Fantasy I & II: Dawn of Souls,GBA,2004.0,Role-Playing,0.64,0.24,0.29,0.02,,,
1715,Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,0.85,0.31,0.0,0.02,95.0,7.5,E
1739,Mario vs. Donkey Kong,GBA,2004.0,Puzzle,0.68,0.25,0.21,0.02,81.0,8,E
1747,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002.0,Role-Playing,0.84,0.27,0.0,0.05,,,
1793,LEGO Star Wars: The Video Game,GBA,2005.0,Action,0.82,0.3,0.0,0.02,,,
1805,Cars,GBA,2006.0,Racing,0.81,0.3,0.0,0.02,50.0,4.7,E
1815,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005.0,Role-Playing,0.81,0.3,0.0,0.02,,,
1875,Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,0.78,0.29,0.0,0.02,75.0,8.9,E
1908,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,0.77,0.29,0.0,0.02,40.0,6.1,T
1909,Disney's Lilo & Stitch,GBA,2002.0,Platform,0.77,0.29,0.0,0.02,,,
1955,Spider-Man 2,GBA,2004.0,Action,0.76,0.28,0.0,0.02,65.0,7.7,E
1995,F-Zero: Maximum Velocity,GBA,2001.0,Racing,0.39,0.16,0.37,0.12,86.0,8.5,E
2101,Mario Party Advance,GBA,2005.0,Misc,0.5,0.19,0.28,0.02,54.0,5.4,E
2117,Fire Emblem,GBA,2003.0,Strategy,0.49,0.18,0.29,0.01,88.0,9.2,E
2174,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003.0,Misc,0.68,0.25,0.0,0.02,,,
2212,Bentley's Hackpack,GBA,2005.0,Misc,0.67,0.25,0.0,0.02,,,
2217,Crash City Mayhem,GBA,2004.0,Racing,0.67,0.25,0.0,0.02,,,
2224,Teenage Mutant Ninja Turtles,GBA,2003.0,Action,0.67,0.25,0.0,0.02,71.0,8.8,E
2320,Madagascar,GBA,2005.0,Platform,0.62,0.24,0.0,0.03,71.0,tbd,E
2323,Castlevania: Circle of the Moon,GBA,2001.0,Platform,0.6,0.22,0.05,0.02,91.0,8.5,T
2327,Classic NES Series: The Legend of Zelda,GBA,2004.0,Adventure,0.46,0.17,0.24,0.02,84.0,8.6,E
2328,Fire Emblem: The Sacred Stones,GBA,2004.0,Strategy,0.42,0.16,0.3,0.02,85.0,9.1,E
2471,Metroid: Zero Mission,GBA,2004.0,Adventure,0.6,0.22,0.0,0.01,89.0,9,E
2482,Lizzie McGuire 2: Lizzie Diaries,GBA,2004.0,Action,0.6,0.22,0.0,0.01,57.0,5,E
2617,Secret Agent Barbie: Royal Jewels Mission,GBA,2002.0,Platform,0.56,0.21,0.0,0.01,71.0,tbd,E
2661,Star Wars Episode II: Attack of the Clones,GBA,2002.0,Action,0.55,0.2,0.0,0.01,38.0,5,E
2665,Donkey Kong Country 3,GBA,2005.0,Platform,0.45,0.17,0.14,0.01,77.0,8.4,E
2693,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,2005.0,Role-Playing,0.09,0.03,0.62,0.02,,,
2699,That's So Raven,GBA,2004.0,Adventure,0.54,0.2,0.0,0.01,39.0,7.6,E
2752,Yu-Gi-Oh! Dungeon Dice Monsters,GBA,2001.0,Misc,0.42,0.16,0.15,0.01,,,
2764,The Lord of the Rings: The Two Towers,GBA,2002.0,Action,0.53,0.2,0.0,0.01,,,
2773,WarioWare: Twisted!,GBA,,Puzzle,0.16,0.06,0.5,0.02,,,
2781,Sword of Mana,GBA,2003.0,Role-Playing,0.31,0.11,0.3,0.02,72.0,8.3,E
2793,Classic NES Series: Donkey Kong,GBA,2004.0,Platform,0.4,0.15,0.17,0.01,55.0,4.8,E
2814,Beyblade VForce: Ultimate Blader Jam,GBA,2003.0,Action,0.52,0.19,0.0,0.01,,tbd,E
2820,Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,0.52,0.19,0.0,0.01,73.0,7.5,E10+
2838,Kouchuu Ouja Mushi King,GBA,2005.0,Action,0.0,0.0,0.7,0.02,,,
2850,Super Monkey Ball Jr.,GBA,2002.0,Puzzle,0.51,0.19,0.0,0.01,82.0,8.6,E
2878,Scooby-Doo 2: Monsters Unleashed,GBA,2004.0,Action,0.51,0.19,0.0,0.01,46.0,tbd,E
2909,F-14 Tomcat,GBA,2001.0,Action,0.5,0.19,0.0,0.01,67.0,tbd,E
2919,Advance Wars,GBA,2001.0,Strategy,0.5,0.19,0.0,0.01,92.0,9,E
2931,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,0.37,0.14,0.17,0.01,73.0,7.5,E
2933,Disney's Chicken Little,GBA,2005.0,Platform,0.5,0.18,0.0,0.01,71.0,tbd,E
2949,Mario Pinball Land,GBA,2004.0,Misc,0.5,0.18,0.0,0.01,62.0,4.9,E
2967,Shark Tale,GBA,2004.0,Action,0.49,0.18,0.0,0.01,63.0,9,E
3024,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,0.48,0.18,0.0,0.01,66.0,6.8,E
3057,Dragon Quest Monsters: Caravan Heart,GBA,2003.0,Role-Playing,0.0,0.0,0.64,0.02,,,
3058,Strawberry Shortcake: Summertime Adventure,GBA,2004.0,Adventure,0.47,0.18,0.0,0.01,,tbd,E
3072,Shrek: Hassle at the Castle,GBA,2002.0,Action,0.47,0.17,0.0,0.01,71.0,7.4,E
