,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
111,Super Smash Bros. Melee,GC,2001.0,Fighting,4.41,1.04,1.39,0.22,92.0,9.1,T
112,Mario Kart: Double Dash!!,GC,2003.0,Racing,4.12,1.77,0.87,0.19,,,
136,Super Mario Sunshine,GC,2002.0,Platform,4.01,1.26,0.87,0.17,92.0,8.6,E
233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,2.6,0.99,0.89,0.13,96.0,8.9,E
356,Luigi's Mansion,GC,2001.0,Action,2.38,0.67,0.46,0.1,78.0,8.5,E
435,Animal Crossing,GC,2001.0,Simulation,1.92,0.16,0.99,0.09,87.0,8.9,E
517,Metroid Prime,GC,2002.0,Shooter,1.96,0.67,0.1,0.09,97.0,9.3,T
601,Sonic Adventure 2 Battle,GC,2001.0,Platform,1.7,0.59,0.21,0.07,73.0,8.3,E
606,Pokémon Colosseum,GC,2003.0,Role-Playing,1.21,0.57,0.7,0.07,73.0,8,E
625,Mario Party 4,GC,2002.0,Misc,1.13,0.36,0.92,0.07,70.0,7.4,E
712,Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,1.48,0.25,0.46,0.06,87.0,9.4,E
804,Mario Party 5,GC,2003.0,Misc,0.97,0.33,0.73,0.06,69.0,8.2,E
827,Sonic Mega Collection,GC,2002.0,Misc,1.47,0.48,0.05,0.06,75.0,8.8,E
909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,Simulation,1.03,0.75,0.03,0.09,90.0,8.6,T
925,Star Fox Adventures,GC,2002.0,Adventure,0.96,0.53,0.3,0.09,82.0,7.7,T
1068,Resident Evil 4,GC,2005.0,Action,0.98,0.42,0.22,0.06,96.0,9.4,M
1110,Mario Party 6,GC,2004.0,Misc,0.9,0.11,0.6,0.05,71.0,7.9,E
1128,Pikmin,GC,2001.0,Strategy,0.78,0.25,0.56,0.04,89.0,8.7,E
1138,Kirby Air Ride,GC,2003.0,Racing,1.01,0.11,0.45,0.04,61.0,7.9,E
1147,Super Mario Strikers,GC,2005.0,Sports,0.98,0.38,0.2,0.04,76.0,8.7,E
1157,Sonic Heroes,GC,2003.0,Platform,1.05,0.44,0.06,0.04,72.0,7.8,E
1162,The Legend of Zelda: Twilight Princess,GC,2006.0,Action,1.15,0.36,0.04,0.04,96.0,9.2,T
1185,Mario Party 7,GC,2005.0,Misc,0.95,0.11,0.46,0.04,64.0,7.9,E
1225,Mario Golf: Toadstool Tour,GC,2003.0,Sports,1.09,0.15,0.25,0.04,81.0,8,E
1239,Super Monkey Ball 2,GC,2002.0,Puzzle,1.11,0.31,0.06,0.04,87.0,8.5,E
1254,SoulCalibur II,GC,2003.0,Fighting,0.99,0.32,0.11,0.08,93.0,9.1,T
1267,Final Fantasy: Crystal Chronicles,GC,2003.0,Role-Playing,0.72,0.38,0.36,0.04,80.0,8.1,T
1303,Super Monkey Ball,GC,2001.0,Puzzle,0.95,0.37,0.1,0.04,87.0,7.9,E
1308,Mario Superstar Baseball,GC,2005.0,Sports,0.93,0.24,0.25,0.04,76.0,8.6,E
1359,Resident Evil (Remake),GC,2002.0,Action,0.63,0.38,0.35,0.05,,,
1363,LEGO Star Wars: The Video Game,GC,2005.0,Action,1.09,0.28,0.0,0.04,,,
1458,Donkey Kong Jungle Beat,GC,2004.0,Platform,0.84,0.22,0.24,0.04,80.0,8.3,E10+
1474,Metroid Prime 2: Echoes,GC,2004.0,Shooter,0.87,0.35,0.07,0.04,92.0,8.8,T
1521,Resident Evil Zero,GC,2002.0,Action,0.54,0.27,0.45,0.04,,,
1565,Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,0.87,0.3,0.06,0.03,57.0,7.9,E
1592,Pokemon XD: Gale of Darkness,GC,2005.0,Role-Playing,0.71,0.19,0.31,0.03,64.0,8.3,E
1637,Mario Power Tennis,GC,2004.0,Sports,0.58,0.16,0.46,0.03,80.0,8.5,E
1663,Need for Speed Underground,GC,2003.0,Racing,0.69,0.48,0.01,0.03,83.0,9,E
1678,Pikmin 2,GC,2004.0,Strategy,0.48,0.13,0.56,0.03,90.0,9.1,E
1702,Spider-Man: The Movie,GC,2002.0,Action,0.86,0.27,0.01,0.04,76.0,7.3,E
1771,Donkey Konga,GC,2003.0,Misc,0.5,0.16,0.46,0.03,76.0,8.3,E
1800,Need for Speed Underground 2,GC,2004.0,Racing,0.7,0.39,0.01,0.03,,,
1865,Tales of Symphonia,GC,2003.0,Role-Playing,0.54,0.21,0.31,0.04,86.0,8.5,T
1910,Star Fox: Assault,GC,2005.0,Shooter,0.68,0.18,0.19,0.03,67.0,8.1,T
1990,Naruto: Clash of Ninja 2,GC,2003.0,Fighting,0.44,0.12,0.45,0.03,74.0,8.9,T
