,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
45,Super Mario 64,N64,1996.0,Platform,6.91,2.85,1.91,0.23,,,
63,Mario Kart 64,N64,1996.0,Racing,5.55,1.94,2.23,0.15,,,
82,GoldenEye 007,N64,1997.0,Shooter,5.8,2.01,0.13,0.15,,,
93,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,4.1,1.89,1.45,0.16,,,
158,Super Smash Bros.,N64,1999.0,Fighting,2.95,0.6,1.97,0.04,,,
168,Pokemon Stadium,N64,1999.0,Strategy,3.18,1.24,0.94,0.09,,,
178,Donkey Kong 64,N64,1999.0,Platform,3.33,0.79,1.09,0.06,,,
214,Diddy Kong Racing,N64,1997.0,Racing,2.91,0.99,0.89,0.1,,,
299,Star Fox 64,N64,1997.0,Shooter,2.78,0.58,0.64,0.04,,,
345,Banjo-Kazooie,N64,1998.0,Platform,1.87,1.13,0.55,0.1,,,
348,Pokemon Snap,N64,1999.0,Simulation,2.23,0.68,0.66,0.06,,,
400,The Legend of Zelda: Majora's Mask,N64,2000.0,Action,1.9,0.67,0.73,0.06,,,
441,Star Wars Episode I Racer,N64,1999.0,Racing,2.31,0.62,0.14,0.04,,,
486,Wave Race 64,N64,1996.0,Racing,1.98,0.58,0.34,0.04,,,
512,Yoshi's Story,N64,1997.0,Platform,1.29,0.53,0.98,0.05,,,
549,Pokémon Stadium 2,N64,2000.0,Strategy,1.02,0.36,1.13,0.23,,,
555,Mario Party,N64,1998.0,Misc,1.25,0.53,0.87,0.05,,,
576,Star Wars: Shadows of the Empire,N64,1996.0,Action,2.0,0.5,0.12,0.03,,,
613,Perfect Dark,N64,2000.0,Action,1.55,0.75,0.16,0.06,,,
618,Mario Party 2,N64,1999.0,Misc,1.28,0.14,1.08,0.01,,,
662,WCW/nWo Revenge,N64,1998.0,Fighting,1.94,0.39,0.03,0.02,,,
683,Mario Tennis,N64,2000.0,Sports,0.78,0.4,1.06,0.07,,,
756,Star Wars: Rogue Squadron,N64,1998.0,Simulation,1.6,0.46,0.08,0.03,,,
781,Tony Hawk's Pro Skater,N64,2000.0,Sports,1.68,0.4,0.0,0.03,,,
839,1080°: TenEighty Snowboarding,N64,1998.0,Sports,1.25,0.61,0.13,0.05,,,
906,Mario Party 3,N64,2000.0,Misc,0.72,0.16,1.01,0.02,,,
933,Turok 2: Seeds of Evil,N64,1997.0,Platform,1.37,0.41,0.04,0.04,,,
948,"Hey You, Pikachu!",N64,1998.0,Simulation,0.83,0.06,0.93,0.0,,,
986,Kirby 64: The Crystal Shards,N64,2000.0,Platform,0.63,0.06,1.03,0.04,,,
1024,Cruis'n USA,N64,1996.0,Racing,1.69,0.04,0.0,0.01,,,
1063,WCW vs. nWo: World Tour,N64,1997.0,Fighting,1.37,0.28,0.03,0.02,,,
1153,F-1 World Grand Prix,N64,1998.0,Racing,0.46,0.96,0.09,0.08,,,
1204,007: The World is not Enough,N64,2000.0,Action,1.13,0.38,0.02,0.03,,,
1261,WWF No Mercy,N64,2000.0,Fighting,1.2,0.27,0.02,0.02,,,
1271,Banjo-Tooie,N64,2000.0,Platform,0.82,0.36,0.25,0.06,,,
1277,WWF WrestleMania 2000,N64,1999.0,Fighting,1.2,0.25,0.02,0.02,,,
1293,Mario Golf,N64,1999.0,Action,0.62,0.18,0.65,0.02,,,
1321,Namco Museum 64,N64,1999.0,Misc,1.24,0.17,0.03,0.01,,,
