,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
31,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,6.03,5.86,0.36,2.38,,,
42,Grand Theft Auto V,PS4,2014.0,Action,3.96,6.31,0.38,1.97,97.0,8.3,M
77,FIFA 16,PS4,2015.0,Sports,1.12,6.12,0.06,1.28,82.0,4.3,E
87,Star Wars Battlefront (2015),PS4,2015.0,Shooter,2.99,3.49,0.22,1.28,,,
92,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,2.81,3.48,0.14,1.23,83.0,5.7,M
94,FIFA 17,PS4,2016.0,Sports,0.66,5.75,0.08,1.11,85.0,5,E
105,Fallout 4,PS4,2015.0,Role-Playing,2.53,3.27,0.24,1.13,87.0,6.5,M
143,FIFA 15,PS4,2014.0,Sports,0.8,4.33,0.05,0.9,82.0,5.7,E
154,Destiny,PS4,2014.0,Shooter,2.49,2.07,0.16,0.92,76.0,6.1,T
171,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,1.85,2.5,0.19,0.85,93.0,7.9,T
225,The Last of Us,PS4,2014.0,Action,1.88,2.0,0.07,0.77,,,
231,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,2.07,1.71,0.08,0.76,86.0,8.1,T
245,Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,1.61,2.0,0.15,0.71,77.0,3.4,M
261,Minecraft,PS4,2014.0,Misc,1.48,2.02,0.14,0.68,,,
289,Battlefield 1,PS4,2016.0,Shooter,1.1,2.15,0.21,0.61,88.0,8.4,M
295,Watch Dogs,PS4,2014.0,Action,1.4,1.9,0.11,0.64,80.0,6.3,M
298,Far Cry 4,PS4,2014.0,Shooter,1.13,2.18,0.1,0.63,85.0,7.7,M
303,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,1.02,2.13,0.23,0.59,92.0,9.2,M
304,Assassin's Creed: Unity,PS4,2014.0,Action,1.19,2.07,0.08,0.62,70.0,4.9,M
305,Batman: Arkham Knight,PS4,2015.0,Action,1.53,1.69,0.1,0.64,87.0,7.6,M
314,NBA 2K16,PS4,2015.0,Sports,2.49,0.66,0.03,0.69,87.0,6.7,E10+
323,Call of Duty: Ghosts,PS4,2013.0,Shooter,1.78,1.43,0.05,0.57,78.0,3.7,M
325,Tom Clancy's The Division,PS4,2016.0,Shooter,1.35,1.7,0.15,0.6,80.0,7,M
357,Battlefield 4,PS4,2013.0,Shooter,1.35,1.55,0.17,0.51,85.0,6.9,M
390,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,1.09,1.36,0.49,0.48,93.0,8.2,M
396,Assassin's Creed Syndicate,PS4,2015.0,Action,0.81,1.99,0.07,0.52,76.0,6.8,M
420,Madden NFL 16,PS4,2015.0,Sports,2.34,0.3,0.0,0.6,83.0,5.9,E
469,FIFA 14,PS4,2013.0,Sports,0.61,1.85,0.11,0.44,87.0,6.3,E
481,Middle-Earth: Shadow of Mordor,PS4,2014.0,Action,1.01,1.43,0.05,0.47,84.0,8.1,M
509,Assassin's Creed IV: Black Flag,PS4,2013.0,Action,1.07,1.31,0.06,0.42,83.0,7.8,M
529,inFAMOUS: Second Son,PS4,2014.0,Action,1.28,0.98,0.07,0.46,80.0,7.9,T
539,Mortal Kombat X,PS4,2015.0,Fighting,1.5,0.8,0.0,0.48,83.0,7.7,M
560,Killzone: Shadow Fall,PS4,2013.0,Shooter,0.89,1.33,0.08,0.39,73.0,6.8,M
623,Bloodborne,PS4,2015.0,Action,1.03,0.81,0.26,0.38,92.0,8.6,M
631,NBA 2K15,PS4,2014.0,Sports,1.47,0.54,0.01,0.43,83.0,7,E
639,Need for Speed (2015),PS4,2015.0,Racing,0.5,1.5,0.05,0.37,,,
708,Far Cry: Primal,PS4,2016.0,Action,0.6,1.25,0.06,0.35,76.0,6.3,M
733,Tom Clancy's Rainbow Six: Siege,PS4,2015.0,Shooter,0.55,1.19,0.14,0.33,73.0,7.3,M
749,Madden NFL 15,PS4,2014.0,Sports,1.54,0.25,0.0,0.4,81.0,6.1,E
767,Overwatch,PS4,2016.0,Shooter,0.81,0.85,0.15,0.33,90.0,6.1,T
790,Battlefield: Hardline,PS4,2015.0,Shooter,0.71,0.94,0.14,0.32,73.0,5,M
797,Dying Light,PS4,2015.0,Action,0.96,0.67,0.12,0.34,74.0,7.9,M
814,DriveClub,PS4,2014.0,Racing,0.36,1.38,0.02,0.31,71.0,6.1,E
851,Dragon Age: Inquisition,PS4,2014.0,Role-Playing,0.73,0.88,0.08,0.32,89.0,7.4,M
