,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,2.9,2.81,0.24,1.73,88.0,7.6,M
163,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,0.47,0.55,4.13,0.34,81.0,8.7,T
204,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,1.7,1.99,0.16,1.18,86.0,8,M
215,Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,0.0,0.0,4.87,0.0,,,
272,Daxter,PSP,2006.0,Platform,2.45,1.01,0.0,0.75,85.0,8.7,E10+
331,Ratchet & Clank: Size Matters,PSP,2007.0,Platform,1.4,1.39,0.1,0.86,,,
344,Midnight Club 3: DUB Edition,PSP,2005.0,Racing,1.65,1.21,0.0,0.79,74.0,8.4,E10+
416,Gran Turismo (PSP),PSP,2009.0,Racing,0.5,1.58,0.31,0.87,,,
429,God of War: Chains of Olympus,PSP,2008.0,Action,1.48,1.0,0.04,0.66,91.0,8.6,M
431,Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,1.35,0.59,0.8,0.43,83.0,8,T
577,Medal of Honor Heroes,PSP,2006.0,Shooter,0.86,1.11,0.01,0.66,71.0,7.9,T
584,Pac-Man: Adventures in Time,PSP,2006.0,Fighting,0.76,1.09,0.12,0.64,,,
598,Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,0.37,0.27,1.75,0.18,72.0,8.7,T
607,LittleBigPlanet,PSP,2009.0,Platform,0.64,1.22,0.01,0.67,87.0,7.8,E10+
647,Need for Speed Carbon: Own the City,PSP,2006.0,Racing,0.87,0.97,0.0,0.58,73.0,7.9,E10+
723,Dissidia: Final Fantasy,PSP,2008.0,Fighting,0.51,0.5,0.91,0.31,79.0,8,T
774,Call of Duty: Roads to Victory,PSP,2007.0,Shooter,0.52,1.02,0.0,0.59,64.0,7.5,T
810,Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,1.77,0.12,0.02,0.17,72.0,7.8,E10+
817,Metal Gear Solid: Peace Walker,PSP,2010.0,Action,0.46,0.41,0.96,0.24,89.0,8.9,T
823,Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,0.63,0.41,0.75,0.26,82.0,8.6,E10+
867,Hot Shots Golf: Open Tee,PSP,2004.0,Sports,0.5,0.5,0.63,0.33,81.0,8.7,E10+
1083,Star Wars Battlefront: Renegade Squadron,PSP,2007.0,Shooter,0.9,0.46,0.0,0.32,73.0,7.9,T
1280,Sonic Rivals 2,PSP,2007.0,Racing,0.44,0.67,0.0,0.37,60.0,7.8,E
1339,SNK vs. Capcom: The Match of the Millennium,PSP,2006.0,Fighting,0.53,0.57,0.0,0.34,,,
1346,Sonic Rivals,PSP,2006.0,Racing,0.73,0.42,0.0,0.27,64.0,7.8,E
1376,LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,0.58,0.5,0.0,0.32,83.0,8.6,E10+
1381,Ridge Racer,PSP,2004.0,Racing,0.36,0.44,0.32,0.27,88.0,8.2,E
1416,The Sims 2,PSP,2005.0,Simulation,0.49,0.55,0.0,0.33,65.0,6.9,T
1442,FIFA Soccer 08,PSP,2007.0,Sports,0.2,0.76,0.0,0.39,79.0,7.4,E
1443,FIFA Soccer 09,PSP,2008.0,Sports,0.23,0.73,0.02,0.37,84.0,8.9,E
1457,Monster Hunter Freedom,PSP,2005.0,Role-Playing,0.24,0.03,1.03,0.04,71.0,8.6,T
1490,Need for Speed Underground Rivals,PSP,2005.0,Racing,0.69,0.37,0.02,0.24,74.0,8.5,E
1538,LEGO Batman: The Videogame,PSP,,Action,0.57,0.44,0.0,0.27,73.0,7.4,E10+
1620,Assassin's Creed: Bloodlines,PSP,2009.0,Action,0.43,0.47,0.05,0.28,63.0,7.2,M
1655,Star Wars: Battlefront II,PSP,2005.0,Shooter,1.05,0.05,0.01,0.1,69.0,8.5,T
1671,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005.0,Sports,0.01,0.88,0.31,0.0,,,
1674,FIFA Soccer 07,PSP,2006.0,Sports,0.25,0.64,0.0,0.31,,,
1685,Cars,PSP,2006.0,Racing,0.72,0.28,0.0,0.2,70.0,7,E
1687,FIFA Soccer 11,PSP,2010.0,Sports,0.13,0.69,0.01,0.36,68.0,5.4,E
1701,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,0.45,0.47,0.0,0.28,68.0,7.8,T
1705,Metal Gear Solid: Portable Ops,PSP,2006.0,Action,0.38,0.35,0.38,0.08,87.0,8.2,M
1723,LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,0.4,0.48,0.0,0.29,76.0,7.6,E10+
1754,Final Fantasy Tactics: The War of the Lions,PSP,2007.0,Role-Playing,0.45,0.24,0.3,0.16,88.0,8,T
1760,Medal of Honor Heroes 2,PSP,2007.0,Shooter,0.5,0.39,0.02,0.25,69.0,7.3,T
1770,FIFA Soccer 10,PSP,2009.0,Sports,0.15,0.67,0.01,0.31,83.0,7.9,E
1823,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,1.03,0.0,0.01,0.08,82.0,8.6,M
1849,Lumines: Puzzle Fusion,PSP,2004.0,Puzzle,0.52,0.35,0.0,0.23,,,
1879,Untold Legends: Brotherhood of the Blade,PSP,2005.0,Role-Playing,0.54,0.33,0.01,0.22,68.0,7.6,T
1895,Namco Museum Battle Collection,PSP,2005.0,Misc,0.75,0.18,0.0,0.16,73.0,7.2,E10+
1907,Star Wars: The Force Unleashed,PSP,2008.0,Action,0.43,0.4,0.0,0.24,70.0,8.1,T
1912,The Simpsons Game,PSP,2007.0,Action,0.24,0.54,0.0,0.3,59.0,6.7,T
1931,World Tour Soccer,PSP,2005.0,Sports,0.1,0.63,0.0,0.34,70.0,5.6,E
1939,Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,0.28,0.49,0.03,0.27,90.0,7.3,M
1967,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,0.81,0.11,0.0,0.13,81.0,9,T
2003,WipEout Pure,PSP,2005.0,Racing,0.47,0.34,0.0,0.23,88.0,7.9,E
2018,MotorStorm: Arctic Edge,PSP,2009.0,Racing,0.16,0.57,0.0,0.29,79.0,8.8,T
2060,God of War: Ghost of Sparta,PSP,2010.0,Action,0.41,0.35,0.03,0.21,86.0,8.4,M
2090,Ace Combat X: Skies of Deception,PSP,2006.0,Simulation,0.37,0.3,0.12,0.19,75.0,8.3,T
2094,Midnight Club: LA Remix,PSP,2008.0,Racing,0.52,0.27,0.0,0.19,79.0,8.7,T
2095,Pro Evolution Soccer 2008,PSP,2008.0,Sports,0.02,0.53,0.19,0.25,80.0,6.8,E
2154,Gangs of London,PSP,2006.0,Adventure,0.3,0.43,0.0,0.22,52.0,6.7,M
2197,Phantasy Star Portable,PSP,2008.0,Role-Playing,0.19,0.06,0.63,0.05,64.0,7.8,T
2255,SpongeBob SquarePants: The Yellow Avenger,PSP,2006.0,Action,0.55,0.21,0.0,0.16,48.0,6.4,E
2333,Killzone: Liberation,PSP,2006.0,Shooter,0.44,0.27,0.0,0.18,77.0,8.3,T
2340,Resistance: Retribution,PSP,2009.0,Shooter,0.27,0.35,0.05,0.21,81.0,8.1,M
2363,Dissidia 012: Duodecim Final Fantasy,PSP,2011.0,Fighting,0.21,0.12,0.46,0.08,78.0,8.3,T
2385,Metal Gear Ac!d,PSP,2004.0,Strategy,0.32,0.26,0.12,0.17,,,
2389,Phantasy Star Portable 2,PSP,2009.0,Role-Playing,0.08,0.11,0.62,0.06,69.0,8.1,T
2398,Buzz! Master Quiz,PSP,2008.0,Misc,0.2,0.44,0.0,0.23,,,
2418,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006.0,Sports,0.01,0.72,0.12,0.01,81.0,8.3,E
2424,Lemmings,PSP,2006.0,Puzzle,0.12,0.51,0.0,0.23,76.0,7.9,E
2473,Burnout Legends,PSP,2005.0,Racing,0.7,0.05,0.0,0.08,86.0,8.4,E10+
2479,Madden NFL 07,PSP,,Sports,0.77,0.03,0.0,0.04,78.0,6.6,E
2508,Tony Hawk's Underground 2 Remix,PSP,2005.0,Sports,0.46,0.21,0.0,0.15,83.0,8,T
2534,MediEvil: Resurrection,PSP,2005.0,Adventure,0.19,0.41,0.0,0.22,66.0,8.7,T
2537,Patapon,PSP,2007.0,Misc,0.33,0.25,0.07,0.16,86.0,8.7,E
2538,Final Fantasy Type-0,PSP,2011.0,Role-Playing,0.0,0.0,0.81,0.0,,,
2567,Pro Evolution Soccer 2010,PSP,2009.0,Sports,0.09,0.33,0.2,0.18,72.0,4.6,E
2572,PES 2009: Pro Evolution Soccer,PSP,,Sports,0.04,0.33,0.26,0.17,,,
2577,The Sims 2: Pets,PSP,2006.0,Simulation,0.19,0.38,0.0,0.22,57.0,7.3,T
2583,pro evolution soccer 2011,PSP,2010.0,Sports,0.05,0.3,0.29,0.16,74.0,5.8,E
2607,The Sims 2: Castaway,PSP,2007.0,Simulation,0.08,0.46,0.0,0.25,64.0,7.3,E10+
2610,Invizimals,PSP,2009.0,Strategy,0.17,0.5,0.0,0.11,69.0,7.3,E10+
2647,Need for Speed: ProStreet,PSP,2008.0,Racing,0.24,0.33,0.01,0.19,57.0,7.1,E
2657,Worms: Open Warfare,PSP,2006.0,Strategy,0.11,0.43,0.0,0.23,70.0,6.6,E10+
2670,Twisted Metal: Head On,PSP,2005.0,Action,0.71,0.0,0.0,0.06,79.0,8.2,T
2685,Need For Speed: Undercover,PSP,2008.0,Racing,0.23,0.31,0.03,0.19,52.0,6.8,T
2688,Star Wars Battlefront: Elite Squadron,PSP,2009.0,Shooter,0.38,0.23,0.0,0.15,63.0,8,T
2725,WWE SmackDown vs. Raw 2009,PSP,2008.0,Fighting,0.41,0.2,0.0,0.14,72.0,6,T
2736,Madden NFL 06,PSP,2005.0,Sports,0.69,0.0,0.0,0.06,75.0,7.9,E
2743,Coded Arms,PSP,2005.0,Shooter,0.28,0.29,0.0,0.17,59.0,6.5,T
2754,Mortal Kombat: Unchained,PSP,2006.0,Fighting,0.67,0.01,0.0,0.06,70.0,8.8,M
2755,Need for Speed: Shift,PSP,2009.0,Racing,0.16,0.37,0.01,0.21,69.0,6.5,E
2763,Tom Clancy's Rainbow Six: Vegas,PSP,2007.0,Shooter,0.42,0.19,0.0,0.13,60.0,7.1,T
2827,God Eater,PSP,2010.0,Action,0.0,0.0,0.72,0.0,,,
2866,Ben 10: Protector of Earth,PSP,2007.0,Action,0.23,0.3,0.0,0.18,60.0,7.2,E10+
2880,Madden NFL 08,PSP,2007.0,Sports,0.6,0.04,0.0,0.07,75.0,6.8,E
2885,Madden NFL 09,PSP,2008.0,Sports,0.65,0.0,0.0,0.06,68.0,6.5,E
2899,Spider-Man 2,PSP,2005.0,Action,0.35,0.21,0.0,0.14,67.0,6.9,T
2922,WWE SmackDown vs. Raw 2011,PSP,2010.0,Fighting,0.22,0.31,0.0,0.17,,6.7,T
2925,Ape Escape: On the Loose,PSP,2005.0,Platform,0.52,0.0,0.12,0.05,66.0,6.4,E
2938,Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,0.26,0.0,0.26,0.17,65.0,7.5,T
2948,MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,0.64,0.0,0.0,0.05,68.0,8.1,E
2982,Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,0.21,0.11,0.28,0.08,82.0,8.6,E
2993,LEGO Harry Potter: Years 1-4,PSP,2010.0,Action,0.14,0.36,0.0,0.18,71.0,tbd,E10+
3019,Virtua Tennis: World Tour (US & Others sales),PSP,2005.0,Sports,0.16,0.36,0.0,0.14,,,
3033,WWE SmackDown vs. RAW 2007,PSP,2006.0,Fighting,0.33,0.2,0.0,0.14,78.0,8.1,T
3064,Madden NFL 10,PSP,2009.0,Sports,0.5,0.08,0.0,0.08,,7.8,E
3069,Ratatouille,PSP,2007.0,Action,0.22,0.27,0.0,0.16,64.0,7.1,E
3074,Gods Eater Burst,PSP,2010.0,Action,0.03,0.0,0.62,0.0,71.0,7.9,T
3103,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007.0,Action,0.23,0.26,0.0,0.16,,,
3114,Toy Story 3: The Video Game,PSP,2010.0,Action,0.27,0.24,0.0,0.14,,,
3117,MX vs. ATV Untamed,PSP,2007.0,Racing,0.35,0.18,0.0,0.12,59.0,tbd,E
