,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,9.43,0.4,0.41,10.57,95.0,9,M
24,Grand Theft Auto: Vice City,PS2,2002.0,Action,8.41,5.49,0.47,1.78,95.0,8.7,M
28,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,6.85,5.09,1.87,1.16,95.0,8.4,E
38,Grand Theft Auto III,PS2,2001.0,Action,6.99,4.51,0.3,1.3,97.0,8.5,M
48,Gran Turismo 4,PS2,2004.0,Racing,3.01,0.01,1.1,7.53,89.0,8.5,E
84,Final Fantasy X,PS2,2001.0,Role-Playing,2.91,2.07,2.73,0.33,92.0,8.7,T
102,Need for Speed Underground,PS2,2003.0,Racing,3.27,2.83,0.08,1.02,85.0,8.6,E
113,Need for Speed Underground 2,PS2,2004.0,Racing,2.71,3.02,0.08,1.09,82.0,8.6,E
114,Medal of Honor: Frontline,PS2,2002.0,Shooter,2.93,2.75,0.17,0.99,88.0,8.5,T
132,Kingdom Hearts,PS2,2002.0,Role-Playing,3.64,1.2,1.49,0.07,85.0,8.8,E
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,2.45,2.01,0.87,0.72,96.0,8.7,M
148,Final Fantasy XII,PS2,2006.0,Role-Playing,1.88,0.0,2.33,1.74,92.0,7.6,T
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,2.07,2.29,0.24,0.82,66.0,7.1,E
177,Final Fantasy X-2,PS2,2003.0,Role-Playing,1.92,1.08,2.11,0.17,85.0,6.6,T
183,Madden NFL 2004,PS2,,Sports,4.26,0.26,0.01,0.71,94.0,8.5,E
186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,0.65,0.75,3.61,0.2,89.0,8.8,T
193,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,1.98,2.23,0.13,0.8,68.0,7.6,T
196,Guitar Hero II,PS2,2006.0,Misc,3.81,0.63,0.0,0.68,92.0,8.5,T
208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,3.49,0.01,0.01,1.48,82.0,8.2,T
