,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
868,Minecraft,PSV,2014.0,Misc,0.18,0.64,0.9,0.24,,,
1219,Uncharted: Golden Abyss,PSV,2011.0,Shooter,0.53,0.66,0.13,0.22,80.0,7.4,T
1294,Call of Duty Black Ops: Declassified,PSV,2012.0,Action,0.71,0.43,0.07,0.26,33.0,4.8,M
1485,Assassin's Creed III: Liberation,PSV,2012.0,Action,0.53,0.48,0.06,0.24,70.0,7.2,M
1595,LittleBigPlanet PS Vita,PSV,2012.0,Platform,0.35,0.61,0.02,0.27,88.0,8.6,E
1831,Persona 4: Golden,PSV,2012.0,Role-Playing,0.36,0.23,0.38,0.15,93.0,9.2,M
2048,Need for Speed: Most Wanted,PSV,2012.0,Racing,0.33,0.45,0.01,0.22,,,
2566,Killzone: Mercenary,PSV,2013.0,Shooter,0.2,0.39,0.04,0.17,78.0,8.9,M
2569,Final Fantasy X / X-2 HD Remaster,PSV,2013.0,Role-Playing,0.16,0.24,0.28,0.12,86.0,8.5,T
3086,Freedom Wars,PSV,2014.0,Role-Playing,0.15,0.1,0.32,0.08,73.0,8.3,T
3102,Mortal Kombat,PSV,2012.0,Fighting,0.42,0.13,0.0,0.1,85.0,7.8,M
3127,Borderlands 2,PSV,2014.0,Shooter,0.32,0.16,0.01,0.15,64.0,7.6,M
3296,Tearaway,PSV,2013.0,Adventure,0.14,0.34,0.0,0.14,87.0,8.9,E
3381,FIFA 15,PSV,2014.0,Sports,0.08,0.35,0.05,0.12,,3.1,E
3475,FIFA Soccer,PSV,2012.0,Sports,0.16,0.32,0.02,0.08,79.0,7.2,E
3605,Gravity Rush,PSV,2012.0,Action,0.21,0.17,0.09,0.08,83.0,8.5,T
3641,Hot Shots Golf: World Invitational,PSV,2011.0,Sports,0.15,0.11,0.25,0.05,76.0,8.1,E
3696,Rayman Origins,PSV,2012.0,Platform,0.12,0.33,0.0,0.09,88.0,8.4,E10+
3876,LEGO Marvel Super Heroes,PSV,2013.0,Action,0.11,0.29,0.0,0.11,,,
