,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
52,Gran Turismo,PS,1997.0,Racing,4.02,3.87,2.54,0.52,96.0,8.7,E
65,Final Fantasy VII,PS,1997.0,Role-Playing,3.01,2.47,3.28,0.96,92.0,9.2,T
67,Gran Turismo 2,PS,1999.0,Racing,3.88,3.42,1.69,0.5,93.0,9,T
88,Final Fantasy VIII,PS,1999.0,Role-Playing,2.28,1.72,3.63,0.23,90.0,8.6,T
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,3.78,2.17,1.31,0.31,,,
106,Tekken 3,PS,1998.0,Fighting,3.27,2.22,1.4,0.29,96.0,9.1,T
109,Crash Bandicoot 3: Warped,PS,1998.0,Platform,3.68,1.75,1.42,0.28,91.0,8.9,E
115,Crash Bandicoot,PS,1996.0,Platform,3.23,2.35,0.94,0.3,,,
139,Driver,PS,1999.0,Action,3.11,2.8,0.02,0.33,87.0,8.1,T
146,Metal Gear Solid,PS,1998.0,Action,3.18,1.83,0.78,0.24,94.0,9.4,M
151,Resident Evil 2,PS,1998.0,Action,1.88,1.47,2.02,0.45,89.0,9.2,M
153,Tekken 2,PS,1996.0,Fighting,2.26,1.89,1.36,0.23,89.0,8.9,T
175,Final Fantasy IX,PS,2000.0,Role-Playing,1.62,0.77,2.78,0.14,94.0,8.9,T
182,Tomb Raider II,PS,1997.0,Action,2.3,2.46,0.2,0.28,85.0,,T
203,Resident Evil,PS,1996.0,Action,2.05,1.16,1.11,0.73,91.0,9,M
205,Tony Hawk's Pro Skater,PS,1999.0,Sports,3.42,1.38,0.02,0.2,92.0,9.2,T
206,Warzone 2100,PS,1999.0,Strategy,2.79,1.89,0.0,0.33,,,
207,Spyro the Dragon,PS,1998.0,Platform,3.36,1.36,0.07,0.21,,,
221,Crash Team Racing,PS,1999.0,Racing,2.57,1.57,0.44,0.21,88.0,9,E
223,Driver 2,PS,2000.0,Action,2.36,2.1,0.02,0.25,62.0,7.7,T
227,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,3.05,1.41,0.02,0.2,98.0,7.7,T
229,Tomb Raider,PS,1996.0,Action,2.29,1.97,0.13,0.24,91.0,8.6,T
244,Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,0.2,0.14,4.1,0.02,,,
282,Frogger,PS,1997.0,Action,3.79,0.27,0.0,0.11,,,
296,Namco Museum Vol.3,PS,1996.0,Misc,2.28,1.55,0.16,0.06,,,
321,Namco Museum Vol.1,PS,1995.0,Misc,2.12,1.44,0.22,0.06,,,
327,Resident Evil Director's Cut,PS,1996.0,Action,1.82,1.24,0.47,0.25,,,
332,Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,1.37,2.0,0.14,0.22,64.0,7.5,E
334,Resident Evil 3: Nemesis,PS,1999.0,Action,1.3,0.77,1.54,0.11,,,
336,Spyro: Year of the Dragon,PS,2000.0,Platform,1.93,1.58,0.0,0.19,91.0,8.8,E
361,WWF SmackDown!,PS,2000.0,Fighting,2.01,1.35,0.06,0.16,,,
362,Croc: Legend of the Gobbos,PS,1997.0,Platform,1.57,1.79,0.0,0.2,,,
365,Tomb Raider III: Adventures of Lara Croft,PS,1997.0,Action,1.66,1.58,0.12,0.18,,,
368,Rugrats in Paris: The Movie,PS,2000.0,Action,1.96,1.33,0.0,0.23,,,
370,Spyro 2: Ripto's Rage!,PS,1999.0,Platform,2.14,1.21,0.01,0.17,,,
389,Grand Theft Auto 2,PS,1998.0,Action,1.13,2.07,0.0,0.22,70.0,8,T
395,Crash Bash,PS,2000.0,Misc,1.56,1.47,0.19,0.17,68.0,8.2,E
399,WWF War Zone,PS,1998.0,Fighting,2.47,0.76,0.0,0.13,,,
402,Rugrats: Search For Reptar,PS,1998.0,Adventure,1.63,1.53,0.0,0.18,,,
419,Tekken,PS,1995.0,Fighting,0.95,1.3,0.77,0.22,,,
423,007: Tomorrow Never Dies,PS,1999.0,Shooter,1.72,1.33,0.0,0.16,,,
425,WWF SmackDown! 2: Know Your Role,PS,2000.0,Fighting,1.76,1.21,0.07,0.16,,,
438,Spider-Man,PS,2000.0,Action,1.7,1.25,0.02,0.16,87.0,9,E
440,Need for Speed III: Hot Pursuit,PS,1998.0,Racing,2.14,0.86,0.0,0.13,88.0,,E
464,Rayman,PS,1995.0,Platform,1.54,1.33,0.0,0.16,,,
504,Syphon Filter,PS,1999.0,Shooter,2.03,0.72,0.02,0.11,,,
506,Colin McRae Rally,PS,1998.0,Racing,0.09,2.43,0.12,0.22,,,
526,Hot Shots Golf,PS,1997.0,Sports,0.29,0.2,2.13,0.18,,,
527,A Bug's Life,PS,1998.0,Platform,1.96,0.72,0.0,0.11,,,
531,Mortal Kombat Trilogy,PS,1996.0,Fighting,1.98,0.7,0.0,0.11,,,
568,Medal of Honor,PS,1998.0,Shooter,1.44,1.09,0.0,0.14,92.0,8.6,T
624,Tomb Raider: The Last Revelation,PS,1998.0,Action,1.15,1.14,0.06,0.13,,,
633,Final Fantasy Tactics,PS,1997.0,Role-Playing,0.93,0.12,1.34,0.06,83.0,8.2,T
635,Twisted Metal 2,PS,1996.0,Racing,2.12,0.25,0.0,0.07,,,
651,Dino Crisis,PS,1998.0,Action,0.81,0.76,0.7,0.14,,,
654,Tetris Plus,PS,1996.0,Puzzle,2.1,0.24,0.0,0.07,,,
684,Grand Theft Auto,PS,1997.0,Action,0.79,1.35,0.04,0.14,,,
686,Need For Speed: High Stakes,PS,1999.0,Racing,1.58,0.64,0.0,0.09,86.0,8.5,E
689,Cool Boarders 3,PS,1998.0,Sports,1.65,0.46,0.1,0.1,,,
703,TOCA Touring Car Championship,PS,1997.0,Racing,0.07,2.0,0.02,0.18,,,
711,Cool Boarders 2,PS,1997.0,Sports,1.52,0.46,0.2,0.08,,,
763,Syphon Filter 2,PS,2000.0,Shooter,1.5,0.55,0.02,0.08,,,
786,Parasite Eve,PS,1998.0,Role-Playing,0.94,0.07,1.05,0.04,81.0,8.9,M
794,Derby Stallion,PS,1997.0,Sports,0.0,0.0,1.96,0.14,,,
811,Spec Ops: Airborne Commando,PS,2002.0,Shooter,1.54,0.46,0.0,0.08,,,
822,R4: Ridge Racer Type 4,PS,1998.0,Racing,0.68,0.46,0.79,0.13,88.0,9.2,
856,Tenchu: Stealth Assassins,PS,1997.0,Action,0.95,0.64,0.27,0.13,87.0,8.8,M
862,Harry Potter and the Chamber of Secrets,PS,2002.0,Action,0.75,1.09,0.02,0.12,,8.5,E
883,Scooby Doo and the Cyber Chase,PS,2001.0,Adventure,0.59,1.23,0.0,0.13,,7.4,E
888,Jet Moto 2,PS,1997.0,Racing,1.41,0.42,0.03,0.07,,,
903,PaRappa The Rapper,PS,1996.0,Misc,0.26,0.16,1.46,0.03,92.0,7.4,K-A
917,Yu-Gi-Oh! Forbidden Memories,PS,1999.0,Role-Playing,1.37,0.44,0.0,0.08,,,
919,Hot Shots Golf 2,PS,1999.0,Sports,0.25,0.12,1.48,0.03,,,
