,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
16,Grand Theft Auto V,PS3,2013.0,Action,7.02,9.09,0.98,3.96,97.0,8.2,M
34,Call of Duty: Black Ops II,PS3,2012.0,Shooter,4.99,5.73,0.65,2.42,83.0,5.3,M
37,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,5.54,5.73,0.49,1.57,88.0,3.2,M
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,5.99,4.37,0.48,1.79,88.0,6.4,M
54,Gran Turismo 5,PS3,2010.0,Racing,2.96,4.82,0.81,2.11,84.0,7.5,E
55,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,4.99,3.64,0.38,1.6,94.0,6.3,M
57,Grand Theft Auto IV,PS3,2008.0,Action,4.76,3.69,0.44,1.61,98.0,7.5,M
69,Call of Duty: Ghosts,PS3,2013.0,Shooter,4.1,3.63,0.38,1.25,71.0,2.6,M
81,FIFA Soccer 13,PS3,2012.0,Action,1.06,5.01,0.13,1.97,88.0,6.6,E
104,Battlefield 3,PS3,2011.0,Shooter,2.85,2.89,0.35,1.08,85.0,7.5,M
118,Uncharted 3: Drake's Deception,PS3,2011.0,Action,2.77,2.75,0.19,1.03,92.0,8.3,T
120,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,3.11,2.26,0.28,1.03,94.0,8.4,M
121,Uncharted 2: Among Thieves,PS3,2009.0,Action,3.27,2.2,0.21,0.98,96.0,8.8,T
122,FIFA 12,PS3,2011.0,Sports,0.84,4.3,0.11,1.39,,,
125,Red Dead Redemption,PS3,2010.0,Action,2.79,2.53,0.17,0.99,95.0,8.8,M
126,FIFA 14,PS3,2013.0,Sports,0.78,4.24,0.07,1.37,86.0,4.3,E
127,Assassin's Creed III,PS3,2012.0,Action,2.64,2.52,0.16,1.12,85.0,6.9,M
130,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,2.55,2.6,0.25,1.0,92.0,6.4,M
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,2.63,1.71,0.83,0.82,94.0,8.7,M
149,The Last of Us,PS3,2013.0,Action,2.41,2.18,0.28,0.99,95.0,9.1,M
150,LittleBigPlanet,PS3,2008.0,Platform,2.8,1.98,0.17,0.87,95.0,6.8,E
159,Assassin's Creed II,PS3,2009.0,Action,2.54,1.93,0.21,0.86,91.0,8.6,M
164,Batman: Arkham City,PS3,2011.0,Action,2.71,1.85,0.11,0.81,96.0,8.6,T
170,Call of Duty: World at War,PS3,2008.0,Shooter,2.73,1.83,0.0,0.83,85.0,7.6,M
173,Final Fantasy XIII,PS3,2009.0,Role-Playing,1.74,1.21,1.87,0.51,83.0,7.3,T
180,Minecraft,PS3,2014.0,Misc,2.03,2.37,0.0,0.87,,,
199,Resident Evil 5,PS3,2009.0,Action,1.96,1.41,1.08,0.64,84.0,7.5,M
202,FIFA Soccer 11,PS3,2010.0,Sports,0.61,3.28,0.06,1.12,89.0,8,E
212,Uncharted: Drake's Fortune,PS3,2007.0,Action,2.31,1.72,0.12,0.77,88.0,8.1,T
219,Assassin's Creed,PS3,2007.0,Adventure,1.91,2.0,0.09,0.82,81.0,7.3,M
