,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
110,Mario Kart 8,WiiU,2014.0,Racing,3.15,2.15,1.28,0.51,88.0,9.1,E
185,New Super Mario Bros. U,WiiU,2012.0,Platform,2.3,1.34,1.27,0.32,84.0,8.1,E
216,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,2.6,1.08,0.81,0.38,,,
247,Splatoon,WiiU,2015.0,Shooter,1.54,1.18,1.46,0.26,81.0,8.5,E10+
248,Nintendo Land,WiiU,2012.0,Misc,2.52,1.11,0.46,0.33,77.0,7.9,E10+
260,Super Mario 3D World,WiiU,2013.0,Platform,2.11,1.16,0.73,0.32,93.0,9,E
424,Super Mario Maker,WiiU,2015.0,Platform,1.18,0.89,0.94,0.2,88.0,8.7,E
720,New Super Luigi U,WiiU,2013.0,Platform,1.25,0.62,0.18,0.18,77.0,7.9,E
978,The Legend of Zelda: The Wind Waker,WiiU,2013.0,Action,0.92,0.6,0.14,0.14,,,
1015,Wii Party U,WiiU,2013.0,Misc,0.3,0.56,0.84,0.05,65.0,6.8,E
1174,Mario Party 10,WiiU,2015.0,Misc,0.69,0.53,0.24,0.12,66.0,6.5,E
1231,Donkey Kong Country: Tropical Freeze,WiiU,2014.0,Platform,0.7,0.55,0.16,0.12,83.0,8.9,E
1509,Yoshi's Woolly World,WiiU,2015.0,Platform,0.62,0.47,0.11,0.1,78.0,8.5,E
1627,Hyrule Warriors,WiiU,2014.0,Action,0.58,0.42,0.13,0.1,76.0,8.3,T
1691,Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,0.53,0.38,0.19,0.09,81.0,8.6,E
1846,Pikmin 3,WiiU,2013.0,Strategy,0.44,0.32,0.29,0.07,87.0,8.7,E10+
1866,LEGO City Undercover,WiiU,2013.0,Platform,0.47,0.42,0.13,0.08,80.0,8.2,E10+
2012,The Legend of Zelda: Twilight Princess HD,WiiU,2016.0,Action,0.56,0.3,0.08,0.09,86.0,8.4,T
2055,ZombiU,WiiU,2012.0,Action,0.52,0.36,0.05,0.08,77.0,7.7,M
2056,Pokken Tournament,WiiU,2016.0,Fighting,0.5,0.26,0.17,0.08,76.0,8,E10+
2445,Wii Fit U,WiiU,2013.0,Sports,0.35,0.23,0.21,0.05,72.0,7.7,E
2457,Xenoblade Chronicles X,WiiU,2015.0,Role-Playing,0.36,0.28,0.14,0.06,84.0,8.9,T
2636,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013.0,Sports,0.37,0.22,0.13,0.06,,,
2687,Bayonetta 2,WiiU,2014.0,Action,0.32,0.28,0.1,0.06,91.0,8.2,M
2778,LEGO Marvel Super Heroes,WiiU,2013.0,Action,0.31,0.35,0.02,0.06,82.0,8,E10+
2813,Just Dance 2015,WiiU,2014.0,Misc,0.38,0.29,0.0,0.06,75.0,6.6,E10+
2903,Skylanders: Trap Team,WiiU,2014.0,Action,0.38,0.26,0.0,0.06,86.0,7.1,E10+
2940,Monster Hunter Tri,WiiU,2012.0,Role-Playing,0.24,0.19,0.22,0.04,,,
2973,Minecraft,WiiU,2016.0,Misc,0.28,0.17,0.18,0.04,,,
3065,Rayman Legends,WiiU,2013.0,Platform,0.25,0.33,0.03,0.05,92.0,8.7,E10+
3118,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,Action,0.37,0.22,0.0,0.06,,,
3134,The LEGO Movie Videogame,WiiU,2014.0,Action,0.33,0.23,0.03,0.05,68.0,7.7,E10+
3339,Disney Infinity,WiiU,2013.0,Action,0.33,0.22,0.0,0.05,71.0,7.6,E10+
3366,Just Dance 2014,WiiU,2013.0,Misc,0.31,0.23,0.0,0.05,72.0,7.6,E10+
3448,Skylanders SWAP Force,WiiU,2013.0,Platform,0.38,0.15,0.0,0.05,89.0,6,E10+
3537,Just Dance 2016,WiiU,2015.0,Misc,0.27,0.25,0.0,0.05,73.0,6.9,E10+
3748,LEGO Dimensions,WiiU,2015.0,Action,0.3,0.18,0.0,0.05,62.0,6.5,E10+
3840,LEGO Jurassic World,WiiU,2015.0,Action,0.27,0.19,0.02,0.04,71.0,8.1,E10+
3858,Kirby and the Rainbow Curse,WiiU,2015.0,Platform,0.22,0.13,0.12,0.04,73.0,8,E
3879,Sonic & All-Stars Racing Transformed,WiiU,2012.0,Racing,0.19,0.26,0.02,0.04,,,
4086,Skylanders: SuperChargers,WiiU,2015.0,Action,0.25,0.19,0.0,0.04,87.0,5.6,E10+
4153,FIFA Soccer 13,WiiU,2012.0,Action,0.17,0.27,0.0,0.04,69.0,6.2,E
4258,Disney Infinity 3.0,WiiU,2015.0,Action,0.21,0.21,0.0,0.04,,,
4331,Lego Batman 3: Beyond Gotham,WiiU,2014.0,Action,0.21,0.21,0.0,0.04,,7,E10+
4387,Mario Tennis Ultra Smash,WiiU,2015.0,Sports,0.13,0.15,0.14,0.02,58.0,5.3,E
4636,Paper Mario: Color Splash,WiiU,2016.0,Role-Playing,0.2,0.14,0.05,0.03,75.0,6.8,E
4653,Animal Crossing: Amiibo Festival,WiiU,2015.0,Misc,0.19,0.11,0.09,0.03,46.0,4.4,E
4706,Call of Duty: Black Ops II,WiiU,2012.0,Shooter,0.2,0.18,0.0,0.03,81.0,6.9,M
4753,Dragon Quest X,WiiU,2013.0,Role-Playing,0.0,0.0,0.41,0.0,,,
4793,The Wonderful 101,WiiU,2013.0,Action,0.19,0.1,0.08,0.03,78.0,8.5,T
4915,Sonic Lost World,WiiU,2013.0,Platform,0.23,0.12,0.01,0.03,63.0,7.3,E10+
5058,Wii Sports Club,WiiU,2014.0,Sports,0.17,0.14,0.04,0.03,68.0,7,E10+
5063,Skylanders Giants,WiiU,2012.0,Action,0.22,0.12,0.0,0.03,80.0,6.9,E10+
5085,Just Dance 4,WiiU,2012.0,Misc,0.21,0.13,0.0,0.03,66.0,7.8,E10+
5150,Scribblenauts: Unlimited,WiiU,2012.0,Action,0.25,0.09,0.0,0.03,73.0,7.4,E10+
5155,Batman: Arkham City,WiiU,2012.0,Action,0.16,0.18,0.0,0.03,,,
5174,Star Fox: Zero,WiiU,2016.0,Shooter,0.17,0.1,0.07,0.03,69.0,7.4,E10+
5241,ESPN: Sports Connection,WiiU,2012.0,Sports,0.2,0.12,0.0,0.03,31.0,2.7,E
5286,Assassin's Creed III,WiiU,2012.0,Action,0.19,0.13,0.0,0.03,85.0,7.1,M
5348,Call of Duty: Ghosts,WiiU,2013.0,Shooter,0.22,0.09,0.01,0.03,69.0,3.4,M
5376,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,Action,0.07,0.14,0.11,0.02,,,
5730,Batman: Arkham Origins,WiiU,2013.0,Action,0.19,0.09,0.0,0.03,68.0,7.4,T
5735,Sonic Boom: Rise of Lyric,WiiU,2014.0,Action,0.19,0.09,0.0,0.03,32.0,3.6,E10+
6081,Assassin's Creed IV: Black Flag,WiiU,2013.0,Action,0.17,0.09,0.0,0.03,86.0,7.7,M
6192,NES Remix,WiiU,2014.0,Action,0.17,0.0,0.08,0.02,71.0,7.1,E
6273,Need for Speed: Most Wanted,WiiU,2013.0,Racing,0.13,0.12,0.0,0.02,,,
6307,Sing Party,WiiU,2012.0,Misc,0.13,0.12,0.0,0.02,60.0,5.4,E10+
6349,Mass Effect 3,WiiU,2012.0,Role-Playing,0.14,0.11,0.0,0.02,,,
6699,Shin Megami Tensei x Fire Emblem,WiiU,2015.0,Role-Playing,0.12,0.05,0.06,0.02,,,
6916,LEGO Marvel's Avengers,WiiU,2016.0,Action,0.12,0.1,0.0,0.02,69.0,6.8,E10+
7009,Game & Wario,WiiU,2013.0,Misc,0.05,0.06,0.12,0.01,,,
7031,Epic Mickey 2: The Power of Two,WiiU,2012.0,Action,0.13,0.07,0.01,0.02,57.0,5.6,E
7066,Madden NFL 13,WiiU,2012.0,Sports,0.21,0.0,0.0,0.02,75.0,6.7,E
7158,LEGO The Hobbit,WiiU,2014.0,Action,0.09,0.11,0.0,0.02,,7.8,E10+
7535,Disney's Planes,WiiU,2013.0,Simulation,0.14,0.04,0.0,0.02,51.0,5.3,E
7810,Guitar Hero Live,WiiU,2015.0,Misc,0.12,0.05,0.0,0.02,84.0,6.1,T
7859,Injustice: Gods Among Us,WiiU,2013.0,Fighting,0.09,0.08,0.0,0.02,82.0,7.9,T
7876,Resident Evil: Revelations,WiiU,2013.0,Action,0.07,0.07,0.03,0.01,80.0,7.5,M
7886,Taiko no Tatsujin: Wii U Version!,WiiU,2013.0,Misc,0.0,0.0,0.19,0.0,,,
8024,Tekken Tag Tournament 2,WiiU,2012.0,Fighting,0.09,0.07,0.01,0.01,,,
8034,Ninja Gaiden 3,WiiU,2012.0,Action,0.14,0.03,0.0,0.02,,,
8073,Skylanders Imaginators,WiiU,2016.0,Platform,0.09,0.08,0.0,0.02,76.0,tbd,E10+
8769,Darksiders II,WiiU,2012.0,Action,0.07,0.07,0.0,0.01,85.0,8.2,M
8943,Lego Star Wars: The Force Awakens,WiiU,2016.0,Action,0.06,0.07,0.01,0.01,74.0,8,E10+
9315,Your Shape: Fitness Evolved 2013,WiiU,2012.0,Action,0.06,0.07,0.0,0.01,76.0,6.3,E10+
9483,Transformers: Prime,WiiU,2012.0,Action,0.09,0.03,0.0,0.01,,,
9511,Watch Dogs,WiiU,2014.0,Action,0.07,0.05,0.0,0.01,62.0,6.4,M
9519,Game Party: Champions,WiiU,2012.0,Action,0.09,0.03,0.0,0.01,24.0,3.5,E
9597,NBA 2K13,WiiU,2012.0,Sports,0.07,0.04,0.0,0.01,85.0,7,E
9610,WipeOut 3 The Game,WiiU,2012.0,Action,0.11,0.0,0.0,0.01,,,
9708,James Bond 007: Legends,WiiU,2012.0,Shooter,0.06,0.05,0.0,0.01,,,
9854,Rodea the Sky Soldier,WiiU,2015.0,Action,0.08,0.02,0.01,0.01,45.0,6.5,E10+
9902,Marvel Avengers: Battle for Earth,WiiU,2012.0,Action,0.06,0.04,0.0,0.01,50.0,5,T
9912,Tom Clancy's Splinter Cell: Blacklist,WiiU,2013.0,Action,0.04,0.07,0.0,0.01,75.0,7.8,M
9941,LEGO Batman 2: DC Super Heroes,WiiU,2013.0,Action,0.04,0.06,0.0,0.01,77.0,7.3,E10+
10025,Taiko Drum Master: Tokumori!,WiiU,2014.0,Misc,0.0,0.0,0.11,0.0,,,
10056,The Walking Dead: Survival Instinct,WiiU,2013.0,Shooter,0.08,0.03,0.0,0.01,,4.6,M
10062,Fatal Frame: Maiden of Black Water,WiiU,2014.0,Action,0.0,0.03,0.08,0.0,67.0,7.6,M
10299,Deus Ex: Human Revolution,WiiU,2013.0,Shooter,0.05,0.05,0.0,0.01,,,
10567,Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013.0,Puzzle,0.09,0.0,0.0,0.01,71.0,6.3,E10+
10755,Angry Birds Star Wars,WiiU,2013.0,Strategy,0.05,0.04,0.0,0.01,,6.8,E
10777,Shovel Knight,WiiU,2015.0,Platform,0.05,0.04,0.0,0.01,88.0,8.3,E
10824,The Voice,WiiU,2014.0,Action,0.08,0.0,0.0,0.01,,,
10847,Just Dance 2017,WiiU,2016.0,Misc,0.03,0.06,0.0,0.01,,tbd,E10+
11182,The Amazing Spider-Man (Console Version),WiiU,2013.0,Action,0.05,0.03,0.0,0.01,,,
11234,Just Dance Wii U,WiiU,2014.0,Misc,0.0,0.0,0.09,0.0,,,
11244,The Smurfs 2,WiiU,2013.0,Platform,0.04,0.03,0.0,0.01,42.0,5.6,E
11334,How to Train Your Dragon 2,WiiU,2014.0,Adventure,0.03,0.05,0.0,0.01,47.0,4.9,E10+
11471,Warriors Orochi 3 Hyper,WiiU,2012.0,Action,0.04,0.02,0.02,0.01,64.0,7.4,T
11652,Just Dance: Disney Party 2,WiiU,2015.0,Action,0.06,0.01,0.0,0.01,,tbd,E
12068,Tank! Tank! Tank!,WiiU,2012.0,Action,0.02,0.01,0.05,0.0,,,
12233,Pac-Man and the Ghostly Adventures 2,WiiU,2014.0,Adventure,0.04,0.02,0.0,0.01,,7,E10+
12310,Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,2015.0,Misc,0.0,0.0,0.06,0.0,,,
12317,One Piece: Unlimited World Red,WiiU,2014.0,Action,0.0,0.04,0.02,0.0,66.0,7.8,T
12456,DuckTales: Remastered,WiiU,2013.0,Action,0.06,0.0,0.0,0.01,76.0,7.9,E
12470,Transformer: Rise of the Dark Spark,WiiU,2014.0,Action,0.04,0.01,0.0,0.01,,,
12604,Devil's Third,WiiU,2015.0,Action,0.04,0.02,0.0,0.01,43.0,6.5,M
12720,The Amazing Spider-Man 2 (2014),WiiU,2014.0,Action,0.03,0.02,0.0,0.0,,,
13001,PAC-MAN and the Ghostly Adventures,WiiU,2013.0,Platform,0.03,0.01,0.0,0.0,58.0,6.5,E10+
13043,Adventure Time: Finn & Jake Investigations,WiiU,2015.0,Action,0.03,0.02,0.0,0.0,,,
13080,Legend of Kay,WiiU,2015.0,Action,0.03,0.02,0.0,0.0,,,
13136,SpongeBob SquarePants: Plankton's Robotic Revenge,WiiU,2013.0,Shooter,0.0,0.05,0.0,0.0,,6.2,E10+
14137,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013.0,Action,0.02,0.01,0.0,0.0,,,
14239,Penguins of Madagascar,WiiU,2014.0,Action,0.01,0.02,0.0,0.0,,5.2,E
14285,YoKai Watch Dance: Just Dance Special Version,WiiU,2015.0,Misc,0.0,0.0,0.03,0.0,,,
14316,Trine 2,WiiU,2012.0,Platform,0.0,0.03,0.0,0.0,,,
14512,Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,2014.0,Misc,0.0,0.0,0.03,0.0,,,
14516,Rabbids Land,WiiU,2012.0,Misc,0.01,0.01,0.0,0.0,52.0,5.2,E10+
14571,Terraria,WiiU,2016.0,Action,0.0,0.03,0.0,0.0,,6.9,T
14695,Mighty No. 9,WiiU,2016.0,Platform,0.02,0.01,0.0,0.0,48.0,4.6,E10+
14763,The Croods: Prehistoric Party!,WiiU,2013.0,Misc,0.01,0.01,0.0,0.0,,,
15027,Turbo: Super Stunt Squad,WiiU,2013.0,Sports,0.0,0.02,0.0,0.0,,3.9,E
15029,Disney Planes Fire & Rescue,WiiU,2014.0,Action,0.01,0.01,0.0,0.0,,,
15231,Monster High 13 Wishes,WiiU,2013.0,Action,0.02,0.0,0.0,0.0,,5.5,E
15377,Sniper Elite V2,WiiU,2013.0,Shooter,0.0,0.02,0.0,0.0,58.0,5.8,M
15505,Fist of the North Star: Ken's Rage 2,WiiU,2013.0,Fighting,0.0,0.0,0.02,0.0,40.0,5.8,M
15610,Kamen Rider: Battride War II,WiiU,2014.0,Action,0.0,0.0,0.02,0.0,,,
