,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
0,Wii Sports,Wii,2006.0,Sports,41.36,28.96,3.77,8.45,76.0,8,E
2,Mario Kart Wii,Wii,2008.0,Racing,15.68,12.76,3.79,3.29,82.0,8.3,E
3,Wii Sports Resort,Wii,2009.0,Sports,15.61,10.93,3.28,2.95,80.0,8,E
7,Wii Play,Wii,2006.0,Misc,13.96,9.18,2.93,2.84,58.0,6.6,E
8,New Super Mario Bros. Wii,Wii,2009.0,Platform,14.44,6.94,4.7,2.24,87.0,8.4,E
13,Wii Fit,Wii,2007.0,Sports,8.92,8.03,3.6,2.15,80.0,7.7,E
15,Wii Fit Plus,Wii,2009.0,Sports,9.01,8.49,2.53,1.77,80.0,7.4,E
39,Super Smash Bros. Brawl,Wii,2008.0,Fighting,6.62,2.55,2.66,1.01,93.0,8.9,T
49,Super Mario Galaxy,Wii,2007.0,Platform,6.06,3.35,1.2,0.74,97.0,8.9,E
61,Just Dance 3,Wii,2011.0,Misc,5.95,3.11,0.0,1.06,74.0,7.8,E10+
68,Just Dance 2,Wii,2010.0,Misc,5.8,2.85,0.01,0.78,74.0,7.3,E10+
79,Wii Party,Wii,2010.0,Misc,1.75,3.47,2.49,0.67,68.0,7.4,E
80,Mario Party 8,Wii,2007.0,Misc,3.74,2.24,1.58,0.7,62.0,6.3,E
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,2.57,3.86,0.66,0.91,,,
97,Super Mario Galaxy 2,Wii,2010.0,Platform,3.56,2.35,0.98,0.62,97.0,9.1,E
103,Just Dance,Wii,2009.0,Misc,3.48,2.99,0.0,0.73,49.0,8,E10+
107,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,3.74,2.14,0.6,0.68,95.0,9,T
116,Just Dance 4,Wii,2012.0,Misc,4.05,2.16,0.0,0.55,74.0,7.3,E10+
119,Zumba Fitness,Wii,2010.0,Sports,3.45,2.59,0.0,0.66,,tbd,E
128,Donkey Kong Country Returns,Wii,2010.0,Platform,3.17,1.79,1.03,0.46,87.0,8.6,E
155,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,3.57,1.55,0.0,0.51,80.0,8.9,E10+
209,Link's Crossbow Training,Wii,2007.0,Shooter,3.05,1.17,0.29,0.46,68.0,7.1,T
230,Animal Crossing: City Folk,Wii,2008.0,Simulation,1.82,1.12,1.32,0.36,73.0,7.6,E
234,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,3.04,1.11,0.0,0.43,86.0,8.4,T
237,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,1.87,1.96,0.22,0.48,,,
254,Michael Jackson: The Experience,Wii,2010.0,Misc,2.64,1.33,0.01,0.39,56.0,8.3,E10+
294,Carnival Games,Wii,2007.0,Misc,2.12,1.47,0.05,0.42,56.0,6,E
306,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,2.03,1.16,0.37,0.38,93.0,8,E10+
310,EA Sports Active,Wii,2009.0,Sports,2.09,1.35,0.06,0.4,81.0,8.7,E
326,Big Brain Academy: Wii Degree,Wii,2007.0,Misc,1.05,1.91,0.41,0.42,68.0,6.9,E
333,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,1.12,1.87,0.27,0.45,,,
335,Super Paper Mario,Wii,2007.0,Platform,1.95,0.86,0.59,0.31,85.0,7.9,E
351,Guitar Hero: World Tour,Wii,2008.0,Misc,2.32,0.96,0.0,0.34,86.0,7.6,T
359,Just Dance 2014,Wii,2013.0,Misc,1.88,1.39,0.0,0.31,,6.2,E10+
418,Wii Music,Wii,2008.0,Misc,1.35,1.11,0.46,0.32,63.0,4.6,E
439,Mario Party 9,Wii,2012.0,Misc,1.06,1.09,0.76,0.22,73.0,6.8,E
456,LEGO Batman: The Videogame,Wii,,Action,1.8,0.97,0.0,0.29,74.0,7.9,E10+
472,Epic Mickey,Wii,2010.0,Platform,2.04,0.63,0.12,0.22,73.0,7,E
501,Cooking Mama: Cook Off,Wii,2007.0,Simulation,1.41,1.12,0.05,0.3,61.0,5.3,E
503,WarioWare: Smooth Moves,Wii,2006.0,Puzzle,0.86,1.04,0.73,0.26,83.0,7.4,E10+
520,Zumba Fitness 2,Wii,2011.0,Sports,1.51,1.03,0.0,0.27,,tbd,T
537,Skylanders: Spyro's Adventure,Wii,2011.0,Action,1.35,1.13,0.0,0.3,81.0,5.6,E10+
551,Sonic and the Secret Rings,Wii,2007.0,Platform,1.21,1.19,0.04,0.29,69.0,6.6,E
591,Mario Strikers Charged,Wii,2007.0,Sports,1.05,1.05,0.24,0.24,79.0,8,E10+
600,Super Mario All-Stars: Limited Edition,Wii,2010.0,Platform,0.99,0.52,0.92,0.14,,,
614,Skylanders Giants,Wii,2012.0,Action,1.48,0.83,0.0,0.21,78.0,7,E10+
616,Deca Sports,Wii,2008.0,Sports,1.11,0.85,0.29,0.25,50.0,5.4,E
622,Game Party,Wii,2007.0,Misc,1.47,0.77,0.0,0.24,25.0,4.3,E
638,LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,1.28,0.93,0.0,0.22,79.0,8,E10+
645,uDraw Studio,Wii,2010.0,Misc,1.65,0.57,0.0,0.2,71.0,tbd,E
678,LEGO Indiana Jones: The Original Adventures,Wii,,Action,1.51,0.61,0.0,0.21,78.0,6.6,E10+
682,My Fitness Coach,Wii,2008.0,Sports,1.18,0.9,0.0,0.24,,8.6,E
717,Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,1.05,0.91,0.04,0.24,74.0,5.7,E
718,Just Dance Kids,Wii,2010.0,Misc,1.52,0.54,0.0,0.18,,tbd,E
719,Call of Duty 3,Wii,,Shooter,1.17,0.84,0.0,0.23,69.0,6.7,T
729,Monster Hunter Tri,Wii,2009.0,Role-Playing,0.65,0.4,1.05,0.11,84.0,8.6,T
732,Resident Evil 4,Wii,2007.0,Action,1.32,0.56,0.14,0.2,,,
762,Sonic Unleashed,Wii,2008.0,Platform,1.26,0.67,0.02,0.21,66.0,7.3,E10+
766,Skylanders SWAP Force,Wii,2013.0,Platform,1.21,0.75,0.0,0.19,,6.6,E10+
