,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
14,Kinect Adventures!,X360,2010.0,Misc,15.0,4.89,0.24,1.69,61.0,6.3,E
23,Grand Theft Auto V,X360,2013.0,Action,9.66,5.14,0.06,1.41,97.0,8.1,M
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,9.04,4.24,0.13,1.32,88.0,3.4,M
32,Call of Duty: Black Ops,X360,2010.0,Shooter,9.7,3.68,0.11,1.13,87.0,6.3,M
35,Call of Duty: Black Ops II,X360,2012.0,Shooter,8.25,4.24,0.07,1.12,83.0,4.8,M
36,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,8.52,3.59,0.08,1.28,94.0,6.3,M
44,Halo 3,X360,2007.0,Shooter,7.97,2.81,0.13,1.21,94.0,7.8,M
51,Grand Theft Auto IV,X360,2008.0,Action,6.76,3.07,0.14,1.03,98.0,7.9,M
60,Call of Duty: Ghosts,X360,2013.0,Shooter,6.73,2.56,0.04,0.91,73.0,2.6,M
64,Halo: Reach,X360,2010.0,Shooter,7.04,1.95,0.08,0.79,91.0,7.9,M
66,Halo 4,X360,2012.0,Shooter,6.65,2.28,0.04,0.74,87.0,7,M
70,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,5.93,2.36,0.13,0.9,94.0,8.4,M
72,Minecraft,X360,2013.0,Misc,5.7,2.65,0.02,0.81,,,
75,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,5.05,2.79,0.1,0.85,96.0,8.4,M
100,Call of Duty: World at War,X360,2008.0,Shooter,4.81,1.88,0.0,0.69,84.0,7.6,M
101,Battlefield 3,X360,2011.0,Shooter,4.46,2.11,0.06,0.69,84.0,7.4,M
117,Gears of War 2,X360,2008.0,Shooter,4.15,1.9,0.06,0.64,93.0,7.7,M
134,Halo 3: ODST,X360,2009.0,Shooter,4.34,1.34,0.06,0.61,83.0,7.1,M
135,Red Dead Redemption,X360,2010.0,Action,3.7,1.95,0.09,0.58,95.0,9,M
140,Gears of War 3,X360,2011.0,Shooter,4.05,1.59,0.07,0.5,91.0,7.8,M
141,Kinect Sports,X360,2010.0,Sports,3.92,1.73,0.03,0.51,73.0,7.4,E10+
142,Gears of War,X360,2006.0,Shooter,3.54,1.88,0.07,0.6,94.0,8.3,M
160,Assassin's Creed,X360,2007.0,Adventure,3.28,1.64,0.07,0.56,81.0,7.7,M
161,Forza Motorsport 3,X360,2009.0,Racing,2.99,1.9,0.1,0.5,92.0,8,E
176,Assassin's Creed III,X360,2012.0,Action,3.13,1.69,0.03,0.44,84.0,6.7,M
181,Assassin's Creed II,X360,2009.0,Action,3.11,1.55,0.08,0.51,90.0,8.8,M
190,FIFA Soccer 13,X360,2012.0,Action,1.09,3.47,0.03,0.57,90.0,6.1,E
197,Fable III,X360,2010.0,Role-Playing,3.59,1.08,0.05,0.38,80.0,6.5,M
211,Fallout 3,X360,2008.0,Role-Playing,3.4,0.99,0.09,0.45,93.0,8.5,M
224,Batman: Arkham City,X360,2011.0,Action,2.99,1.27,0.04,0.42,94.0,8.7,T
236,Forza Motorsport 4,X360,2011.0,Racing,2.08,1.97,0.06,0.46,91.0,8.2,E
239,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,3.19,0.91,0.01,0.42,85.0,7.9,T
251,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,2.82,1.03,0.13,0.4,94.0,8.7,M
263,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,2.77,1.11,0.0,0.4,,4.9,M
