,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
99,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,4.59,2.11,0.01,0.68,,,
165,Grand Theft Auto V,XOne,2014.0,Action,2.81,2.19,0.0,0.47,97.0,7.9,M
179,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,3.22,1.55,0.01,0.48,81.0,5.4,M
242,Halo 5: Guardians,XOne,2015.0,Shooter,2.78,1.27,0.03,0.41,84.0,6.4,T
270,Fallout 4,XOne,2015.0,Role-Playing,2.51,1.32,0.01,0.38,88.0,6.2,M
342,Star Wars Battlefront (2015),XOne,2015.0,Shooter,2.04,1.28,0.02,0.32,,,
373,Assassin's Creed: Unity,XOne,2014.0,Action,2.27,0.9,0.0,0.33,72.0,4.1,M
398,Destiny,XOne,2014.0,Shooter,2.14,0.92,0.0,0.31,75.0,5.5,T
413,Gears of War: Ultimate Edition,XOne,2015.0,Shooter,2.61,0.33,0.0,0.34,82.0,7.5,M
417,FIFA 16,XOne,2015.0,Sports,0.89,2.12,0.0,0.24,84.0,4.4,E
422,Halo: The Master Chief Collection,XOne,2014.0,Shooter,1.91,1.0,0.03,0.29,85.0,7.2,M
484,Titanfall,XOne,2014.0,Shooter,1.84,0.8,0.04,0.27,86.0,6.4,M
493,Call of Duty: Ghosts,XOne,2013.0,Shooter,1.88,0.77,0.0,0.27,78.0,4.3,M
543,Minecraft,XOne,2014.0,Misc,1.61,0.9,0.0,0.25,,,
571,FIFA 17,XOne,2016.0,Sports,0.43,2.05,0.0,0.17,84.0,5.5,E
640,Call of Duty: Infinite Warfare,XOne,2016.0,Shooter,1.46,0.74,0.0,0.22,78.0,3.1,M
641,Madden NFL 16,XOne,2015.0,Sports,2.08,0.08,0.0,0.26,84.0,6.1,E
680,NBA 2K16,XOne,2015.0,Sports,1.95,0.15,0.0,0.24,86.0,6.2,E10+
709,Battlefield 1,XOne,2016.0,Shooter,1.28,0.77,0.0,0.2,87.0,8.2,M
721,Assassin's Creed IV: Black Flag,XOne,2013.0,Action,1.48,0.55,0.0,0.21,,7.4,M
738,Forza Motorsport 5,XOne,2013.0,Racing,1.21,0.79,0.01,0.19,79.0,5.9,E
754,FIFA 15,XOne,2014.0,Sports,0.6,1.42,0.0,0.16,82.0,5.4,E
758,Tom Clancy's The Division,XOne,2016.0,Shooter,1.29,0.68,0.0,0.2,80.0,6.9,M
847,Battlefield 4,XOne,2013.0,Shooter,1.25,0.58,0.0,0.19,81.0,6.6,M
975,Forza Motorsport 6,XOne,2015.0,Racing,0.73,0.9,0.03,0.14,87.0,7.9,E
1037,NBA 2K15,XOne,2014.0,Sports,1.37,0.18,0.0,0.18,82.0,6.3,E
1125,Far Cry 4,XOne,2014.0,Shooter,0.8,0.69,0.01,0.14,82.0,7.5,M
1176,Dead Rising 3,XOne,2013.0,Action,1.06,0.35,0.01,0.15,78.0,6.8,M
1180,Watch Dogs,XOne,2014.0,Action,0.9,0.53,0.0,0.14,78.0,5.8,M
1183,Madden NFL 15,XOne,2014.0,Sports,1.31,0.09,0.0,0.16,80.0,6.4,E
1274,Batman: Arkham Knight,XOne,2015.0,Action,0.88,0.47,0.0,0.14,85.0,6.6,M
1386,Forza Horizon 2,XOne,2014.0,Racing,0.5,0.78,0.01,0.11,86.0,8.2,E10+
1400,Ryse: Son of Rome,XOne,2013.0,Action,0.83,0.43,0.0,0.13,60.0,6.1,M
1401,Mortal Kombat X,XOne,2015.0,Fighting,1.03,0.21,0.0,0.14,86.0,7.3,M
1403,Rise of the Tomb Raider,XOne,2015.0,Adventure,0.55,0.7,0.02,0.11,86.0,8,M
1434,Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,0.73,0.5,0.01,0.12,87.0,8,M
1439,Gears of War 4,XOne,2016.0,Shooter,0.78,0.44,0.0,0.12,84.0,6.2,M
1455,Tom Clancy's Rainbow Six: Siege,XOne,2015.0,Shooter,0.77,0.45,0.0,0.12,74.0,6.9,M
1499,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,0.69,0.5,0.0,0.11,91.0,9.2,M
1515,Assassin's Creed Syndicate,XOne,2015.0,Action,0.62,0.56,0.0,0.11,78.0,6.1,M
1529,Dying Light,XOne,2015.0,Action,0.86,0.3,0.01,0.12,74.0,7.8,M
