,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
78,Halo 2,XB,2004.0,Shooter,6.82,1.53,0.05,0.08,95.0,8.2,M
129,Halo: Combat Evolved,XB,2001.0,Shooter,4.98,1.3,0.08,0.07,97.0,8.6,M
466,Tom Clancy's Splinter Cell,XB,2002.0,Action,1.85,1.04,0.0,0.13,93.0,8.5,T
508,The Elder Scrolls III: Morrowind,XB,2002.0,Role-Playing,2.09,0.63,0.03,0.11,87.0,8.7,T
569,Fable,XB,2004.0,Role-Playing,1.99,0.58,0.0,0.09,85.0,8.5,M
620,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,Action,1.84,0.56,0.0,0.09,,,
696,Need for Speed Underground 2,XB,2004.0,Racing,1.38,0.8,0.0,0.1,77.0,8.7,E
746,Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,1.68,0.44,0.0,0.08,94.0,9.2,T
778,Project Gotham Racing,XB,2001.0,Racing,1.37,0.61,0.05,0.09,85.0,8.2,E
788,Project Gotham Racing (JP weekly sales),XB,2002.0,Action,1.54,0.44,0.04,0.07,,,
875,Grand Theft Auto: San Andreas,XB,2005.0,Action,1.26,0.61,0.0,0.09,93.0,8.6,AO
931,Madden NFL 06,XB,2005.0,Sports,1.75,0.03,0.0,0.08,86.0,6.7,E
987,Dead or Alive 3,XB,2001.0,Fighting,1.19,0.29,0.24,0.06,87.0,8.6,T
999,Tom Clancy's Ghost Recon,XB,2002.0,Shooter,1.23,0.46,0.0,0.07,84.0,6.1,M
1005,Star Wars: Battlefront,XB,2004.0,Shooter,1.24,0.45,0.0,0.07,80.0,9.1,T
1038,Madden NFL 2005,XB,2004.0,Sports,1.61,0.03,0.0,0.08,91.0,7.6,E
1045,Need for Speed Underground,XB,2003.0,Racing,1.09,0.55,0.0,0.07,83.0,8.7,E
1086,Star Wars: Battlefront II,XB,2005.0,Shooter,1.22,0.39,0.0,0.06,83.0,8.9,T
1090,PGR: Project Gotham Racing 2,XB,2003.0,Racing,0.97,0.59,0.04,0.07,,,
1126,ESPN NFL 2K5,XB,2004.0,Sports,1.54,0.02,0.0,0.07,92.0,9.1,E
1202,Tom Clancy's Rainbow Six 3,XB,2003.0,Shooter,0.91,0.57,0.0,0.07,86.0,8.5,M
1268,Medal of Honor: Frontline,XB,2002.0,Shooter,1.0,0.43,0.0,0.06,81.0,6.9,T
1289,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004.0,Action,0.82,0.59,0.0,0.07,93.0,8.6,T
1375,Spider-Man: The Movie,XB,2002.0,Action,1.07,0.28,0.0,0.05,79.0,7.5,E
1397,True Crime: Streets of LA,XB,2003.0,Action,0.96,0.37,0.0,0.05,77.0,7.8,M
1414,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004.0,Role-Playing,0.99,0.33,0.0,0.05,86.0,8.6,T
1419,Tom Clancy's Ghost Recon 2,XB,2004.0,Shooter,0.86,0.45,0.0,0.06,80.0,8.9,T
1438,The Simpsons: Hit & Run,XB,2003.0,Racing,0.7,0.58,0.0,0.07,,,
1454,Doom 3,XB,2005.0,Shooter,0.85,0.43,0.0,0.06,88.0,7.4,M
1504,Burnout 3: Takedown,XB,2004.0,Racing,0.84,0.43,0.0,0.04,94.0,7.2,T
1557,Tony Hawk's Underground,XB,2003.0,Sports,0.85,0.37,0.0,0.05,85.0,9.1,T
1610,Star Wars Episode III: Revenge of the Sith,XB,2005.0,Action,0.82,0.38,0.0,0.04,61.0,8.1,T
1616,Ninja Gaiden,XB,2004.0,Action,0.92,0.2,0.07,0.04,91.0,8.8,M
1618,Crash Bandicoot: The Wrath of Cortex,XB,2002.0,Platform,0.59,0.57,0.0,0.07,70.0,8.1,E
1647,Max Payne,XB,2001.0,Shooter,0.98,0.19,0.0,0.05,89.0,8.3,M
1652,Fuzion Frenzy,XB,2001.0,Misc,0.93,0.24,0.0,0.04,70.0,6.9,E
1653,Call of Duty: Finest Hour,XB,2004.0,Shooter,0.78,0.4,0.0,0.04,73.0,7.8,T
1684,Enter the Matrix,XB,2003.0,Action,0.72,0.43,0.01,0.04,65.0,7.1,T
1699,Hitman 2: Silent Assassin,XB,,Action,0.76,0.38,0.0,0.05,84.0,8,M
1735,Medal of Honor: Rising Sun,XB,2003.0,Shooter,0.76,0.36,0.0,0.05,65.0,5.8,T
1755,LEGO Star Wars: The Video Game,XB,2005.0,Action,0.83,0.28,0.0,0.05,,,
1792,The Lord of the Rings: The Return of the King,XB,2003.0,Action,0.71,0.38,0.0,0.05,84.0,9.1,T
1802,MechAssault,XB,2002.0,Simulation,1.01,0.1,0.0,0.03,87.0,8,T
1808,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004.0,Shooter,0.99,0.12,0.0,0.02,84.0,8.6,M
1825,Call Of Duty 2: Big Red One,XB,2005.0,Shooter,0.66,0.4,0.0,0.05,78.0,5.1,T
1832,Spider-Man 2,XB,2004.0,Action,0.82,0.26,0.0,0.04,83.0,8.3,T
1836,Counter-Strike,XB,2003.0,Shooter,0.85,0.23,0.0,0.04,74.0,7.6,M
1841,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,0.68,0.38,0.0,0.05,94.0,9,M
1881,Madden NFL 2004,XB,2003.0,Sports,1.02,0.02,0.0,0.05,92.0,8.3,E
1976,The Simpsons: Road Rage,XB,2001.0,Racing,0.78,0.26,0.0,0.01,61.0,8.3,T
1979,Forza Motorsport,XB,2005.0,Racing,0.52,0.51,0.0,0.02,92.0,7.6,E
1998,Need for Speed: Most Wanted,XB,2005.0,Racing,0.53,0.46,0.0,0.05,83.0,8.8,T
2035,Madden NFL 07,XB,2006.0,Sports,0.97,0.03,0.0,0.03,83.0,8.7,E
2067,SoulCalibur II,XB,2003.0,Fighting,0.78,0.18,0.03,0.0,92.0,8.9,T
2076,NFL Fever 2002,XB,2000.0,Sports,0.74,0.21,0.0,0.04,79.0,8.5,E
2113,NCAA Football 06,XB,2005.0,Sports,0.73,0.21,0.0,0.03,87.0,8.3,E
2125,FIFA Soccer 2005,XB,2004.0,Sports,0.33,0.6,0.0,0.04,81.0,8.7,E
2150,Mortal Kombat: Deadly Alliance,XB,2002.0,Fighting,0.77,0.15,0.0,0.04,81.0,8.4,M
2153,ESPN NBA 2K5,XB,2004.0,Sports,0.88,0.04,0.0,0.04,85.0,8.7,E
2195,MVP Baseball 2005,XB,2005.0,Sports,0.7,0.2,0.0,0.03,86.0,,
2205,Prince of Persia: The Sands of Time,XB,2003.0,Action,0.57,0.33,0.0,0.04,92.0,7.8,T
2213,Tony Hawk's Pro Skater 4,XB,2002.0,Sports,0.59,0.3,0.0,0.04,90.0,8.5,T
2281,Namco Museum,XB,,Misc,0.77,0.11,0.0,0.04,59.0,tbd,E
2286,Sonic Mega Collection Plus,XB,2004.0,Misc,0.61,0.26,0.0,0.04,75.0,7.9,E
2308,Sonic Heroes,XB,2003.0,Platform,0.41,0.43,0.01,0.05,73.0,7.6,E
2311,James Bond 007: Agent Under Fire,XB,2002.0,Shooter,0.65,0.22,0.0,0.03,71.0,7.5,T
2316,X-Men Legends,XB,2004.0,Role-Playing,0.62,0.24,0.0,0.04,82.0,8.5,T
2317,NBA Live 2005,XB,2004.0,Sports,0.81,0.05,0.0,0.04,85.0,7.6,E
2376,Crimson Skies: High Road to Revenge,XB,2003.0,Simulation,0.65,0.19,0.0,0.03,88.0,8.8,T
2382,Tom Clancy's Ghost Recon: Island Thunder,XB,2003.0,Shooter,0.61,0.24,0.0,0.03,81.0,8.8,M
2401,Conflict: Desert Storm,XB,2002.0,Shooter,0.48,0.37,0.0,0.02,65.0,8.1,T
2433,Tiger Woods PGA Tour 2005,XB,2004.0,Sports,0.64,0.18,0.0,0.03,88.0,8.9,E
2485,Brute Force,XB,2003.0,Shooter,0.62,0.18,0.01,0.03,77.0,7.8,M
2503,James Bond 007: Nightfire,XB,2002.0,Shooter,0.58,0.22,0.0,0.03,78.0,7.8,T
2509,Need for Speed: Hot Pursuit 2,XB,2002.0,Racing,0.68,0.11,0.0,0.03,75.0,6.4,E
2514,Amped: Freestyle Snowboarding,XB,2001.0,Sports,0.69,0.11,0.0,0.02,78.0,9,E
2564,Prince of Persia: Warrior Within,XB,2004.0,Action,0.48,0.28,0.0,0.04,83.0,7.5,M
2606,FIFA Soccer 2004,XB,2003.0,Sports,0.24,0.49,0.0,0.05,82.0,8.2,E
2679,Driv3r,XB,2004.0,Racing,0.36,0.38,0.0,0.03,56.0,4.7,M
2698,Mortal Kombat: Deception,XB,2004.0,Fighting,0.61,0.12,0.0,0.03,81.0,8.8,M
2735,Tony Hawk's Underground 2,XB,2004.0,Sports,0.48,0.24,0.0,0.03,83.0,7.8,T
2761,Midnight Club 3: DUB Edition,XB,2005.0,Racing,0.61,0.1,0.0,0.03,84.0,7.4,E10+
