,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
0,Mario Kart 7,3DS,2011,85,8.2,E
1,Super Mario 3D Land,3DS,2011,90,8.4,E
2,New Super Mario Bros. 2,3DS,2012,78,7.1,E
3,Animal Crossing: New Leaf,3DS,2013,88,8.7,E
4,Tomodachi Life,3DS,2014,71,7.8,E
5,Monster Hunter 4 Ultimate,3DS,2015,86,8.7,T
6,The Legend of Zelda: A Link Between Worlds,3DS,2013,91,8.9,E
7,Animal Crossing: Happy Home Designer,3DS,2015,66,6.9,
8,Paper Mario: Sticker Star,3DS,2012,75,5.4,E
9,Fire Emblem: Awakening,3DS,2013,92,9.0,T
10,Mario Party: Island Tour,3DS,2013,57,5.9,E
11,Donkey Kong Country Returns,3DS,2013,83,8.2,E
12,Kirby: Triple Deluxe,3DS,2014,80,8.6,E
13,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,75,8.2,E10+
14,Kid Icarus: Uprising,3DS,2012,83,8.7,E10+
15,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2013,59,6.3,E
16,Pokemon Super Mystery Dungeon,3DS,2015,69,8.2,E
17,Pokemon Rumble Blast,3DS,2011,56,6.8,E10+
18,LEGO Star Wars III: The Clone Wars,3DS,2011,67,6.3,E10+
19,Fantasy Life,3DS,2014,73,8.4,E10+
20,Sonic Generations,3DS,2011,66,6.8,E
21,Mario Tennis Open,3DS,2012,69,6.9,E
22,PilotWings Resort,3DS,2011,71,7.2,E
23,Star Fox 64 3D,3DS,2011,81,8.1,E10+
24,Kirby: Planet Robobot,3DS,2016,81,8.7,E
25,Harvest Moon 3D: A New Beginning,3DS,2012,74,7.6,E
26,Resident Evil: Revelations,3DS,2012,82,8.4,M
27,Dragon Quest VIII: Journey of the Cursed King,3DS,2017,85,8.6,T
28,Tales of the Abyss,3DS,2012,75,8.5,T
29,The Sims 3,3DS,2011,52,2.9,T
30,Professor Layton and the Azran Legacy,3DS,2014,81,8.1,E10+
31,LEGO Batman 2: DC Super Heroes,3DS,2012,72,5.2,E10+
32,Style Savvy: Trendsetters,3DS,2012,76,7.7,E
33,Persona Q: Shadow of the Labyrinth,3DS,2014,83,5.8,M
34,Angry Birds Trilogy,3DS,2012,62,5.4,E
35,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,71,7.0,E10+
36,Scribblenauts: Unlimited,3DS,2012,73,7.8,E10+
