,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
0,New Super Mario Bros.,DS,2006,89,8.6,E
1,Mario Kart DS,DS,2005,91,8.7,E
2,Brain Age: Train Your Brain in Minutes a Day,DS,2006,77,6.2,E
3,Brain Age 2: More Training in Minutes a Day,DS,2007,77,7.2,E
4,Animal Crossing: Wild World,DS,2005,86,8.1,E
5,Super Mario 64,DS,2004,85,8.4,E
6,Mario Party DS,DS,2007,72,7.8,E
7,Big Brain Academy,DS,2006,74,7.0,E
8,Dragon Quest IX: Sentinels of the Starry Skies,DS,2010,87,8.5,E10+
9,Cooking Mama,DS,2006,67,7.2,E
10,Professor Layton and the Curious Village,DS,2008,85,8.3,E
11,The Legend of Zelda: Phantom Hourglass,DS,2007,90,7.9,E
12,LEGO Star Wars: The Complete Saga,DS,2007,80,7.8,E10+
13,Professor Layton and the Diabolical Box,DS,2009,84,8.3,E10+
14,Flash Focus: Vision Training in Minutes a Day,DS,2007,59,0.0,E
15,MySims,DS,2007,67,6.6,E
16,Cooking Mama 2: Dinner With Friends,DS,2007,70,8.4,E
17,Guitar Hero: On Tour,DS,2008,71,6.5,E10+
18,Clubhouse Games,DS,2006,83,6.2,E
19,The Legend of Zelda: Spirit Tracks,DS,2009,87,7.9,E10+
20,Professor Layton and the Unwound Future,DS,2010,86,8.7,E10+
21,Sonic Rush,DS,2005,82,8.1,E
22,Rhythm Heaven,DS,2009,83,8.1,E
23,Personal Trainer: Cooking,DS,2008,81,6.2,E
24,LEGO Batman: The Videogame,DS,2008,72,7.2,E10+
25,Kirby Super Star Ultra,DS,2008,76,8.8,E
26,Professor Layton and the Last Specter,DS,2011,83,8.1,E10+
27,Style Savvy,DS,2009,73,7.3,E
28,Art Academy,DS,2010,75,7.6,E
29,LEGO Harry Potter: Years 1-4,DS,2010,72,6.8,E10+
30,Pokemon Ranger: Shadows of Almia,DS,2008,68,7.8,E
31,LEGO Indiana Jones: The Original Adventures,DS,2008,80,7.8,E10+
32,Scribblenauts,DS,2009,79,7.4,E10+
33,Pokemon Ranger,DS,2006,69,6.8,E
34,Tetris DS,DS,2006,84,7.4,E
35,The Sims 2: Pets,DS,2006,49,3.7,T
36,TouchMaster,DS,2007,71,0.0,E10+
37,Kirby Squeak Squad,DS,2006,71,7.8,E
38,Phineas and Ferb,DS,2009,80,5.2,E
39,Sonic Classic Collection,DS,2010,70,7.8,E
40,Dragon Quest Monsters: Joker,DS,2007,75,7.0,E10+
41,Dragon Quest VI: Realms of Revelation,DS,2011,78,8.2,T
42,Deal or No Deal,DS,2007,20,3.1,E
43,Personal Trainer: Math,DS,2009,63,0.0,E
44,Dragon Quest IV: Chapters of the Chosen,DS,2008,80,8.1,E10+
45,Mario Hoops 3 on 3,DS,2006,69,7.7,E
46,Guitar Hero: On Tour Decades,DS,2008,72,6.6,E10+
47,Dragon Quest V: Hand of the Heavenly Bride,DS,2009,84,8.8,E10+
48,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,54,9.1,E
49,MySims Kingdom,DS,2008,58,0.0,E
50,The Simpsons Game,DS,2007,69,7.0,T
51,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,68,7.1,E
52,Super Scribblenauts,DS,2010,81,8.3,E10+
53,LEGO Battles: Ninjago,DS,2011,59,8.1,E
54,My Word Coach,DS,2007,71,0.0,E
55,Dragon Quest Monsters: Joker 2,DS,2011,77,7.9,E
56,Bakugan: Battle Brawlers,DS,2009,60,7.3,E
57,Final Fantasy XII: Revenant Wings,DS,2007,81,8.9,E10+
58,Gardening Mama,DS,2009,60,8.0,E
59,Chrono Trigger,DS,2008,92,9.2,E10+
60,Grand Theft Auto: Chinatown Wars,DS,2009,93,7.7,M
61,Pokemon Ranger: Guardian Signs,DS,2010,68,8.0,E
62,Namco Museum DS,DS,2007,67,5.8,E
63,Sonic Colors,DS,2010,79,8.0,E
64,Mystery Case Files: MillionHeir,DS,2008,65,0.0,E
65,Tamagotchi Connection: Corner Shop,DS,2006,59,0.0,E
66,LEGO Battles,DS,2009,65,7.4,E
67,Ratatouille,DS,2007,64,7.5,E
68,Diddy Kong Racing DS,DS,2007,63,6.4,E
69,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,76,7.3,E
70,LEGO Indiana Jones 2: The Adventure Continues,DS,2009,59,5.8,E10+
71,Sonic Rush Adventure,DS,2007,78,8.1,E
72,Plants vs. Zombies,DS,2011,81,8.4,E10+
73,LEGO Star Wars III: The Clone Wars,DS,2011,66,6.1,E10+
74,LEGO Star Wars II: The Original Trilogy,DS,2006,47,4.5,E10+
75,MySims Agents,DS,2009,60,0.0,E
76,Spore Creatures,DS,2008,65,6.0,E
77,Call of Duty 4: Modern Warfare,DS,2007,75,6.1,M
78,Dora the Explorer: Dora Saves the Mermaids,DS,2007,44,4.5,E
79,Super Princess Peach,DS,2006,75,7.9,E
80,Pokemon Conquest,DS,2012,80,8.1,E
81,Kirby: Mass Attack,DS,2011,83,7.8,E
82,Apollo Justice: Ace Attorney,DS,2008,78,8.1,T
83,Puzzler Collection,DS,2008,71,0.0,E
84,Tamagotchi Connection: Corner Shop 2,DS,2006,66,4.8,E
85,My Weight Loss Coach,DS,2008,63,0.0,E
86,The Sims 2,DS,2005,70,6.4,T
87,Phoenix Wright: Ace Attorney,DS,2005,81,9.0,T
88,LEGO Pirates of the Caribbean: The Video Game,DS,2011,69,7.1,E10+
89,TouchMaster 2,DS,2008,76,0.0,E
90,Call of Duty: World at War,DS,2008,75,6.8,M
91,Fossil Fighters,DS,2009,70,8.2,E
92,Sonic Chronicles: The Dark Brotherhood,DS,2008,74,6.4,E
93,Star Wars: The Force Unleashed,DS,2008,61,6.1,T
94,FIFA Soccer 08,DS,2007,77,5.0,E
95,The Legendary Starfy,DS,2009,75,8.1,E
96,Harry Potter and the Order of the Phoenix,DS,2007,51,4.0,E10+
97,I Spy: Fun House,DS,2007,53,0.0,E
98,Rayman Raving Rabbids 2,DS,2007,57,4.3,E10+
99,Golden Sun: Dark Dawn,DS,2010,79,8.1,E10+
100,The World Ends With You,DS,2008,88,8.6,T
101,Drawn to Life,DS,2007,73,7.4,E
102,Pokemon Dash,DS,2005,46,4.8,E
