,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
0,Super Mario Advance,Game Boy Advance,2001,84,8.3,E
1,Mario Kart: Super Circuit,Game Boy Advance,2001,93,7.8,E
2,Pac-Man Collection,Game Boy Advance,2001,79,7.8,E
3,Kirby: Nightmare in Dream Land,Game Boy Advance,2002,81,8.3,E
4,Wario Land 4,Game Boy Advance,2001,88,8.7,E
5,Sonic Advance,Game Boy Advance,2002,87,7.9,E
6,Spyro: Season of Ice,Game Boy Advance,2001,74,6.6,E
7,Final Fantasy Tactics Advance,Game Boy Advance,2003,87,8.9,E
8,Donkey Kong Country,Game Boy Advance,2003,78,8.6,E
9,Harry Potter and the Chamber of Secrets,Game Boy Advance,2002,76,6.4,E
10,Kingdom Hearts: Chain of Memories,Game Boy Advance,2004,76,8.5,E
11,Sonic Advance 2,Game Boy Advance,2003,83,7.8,E
12,Golden Sun,Game Boy Advance,2001,91,8.8,E
13,Crash Bandicoot: The Huge Adventure,Game Boy Advance,2002,78,8.0,E
14,Tetris Worlds,Game Boy Advance,2001,65,8.0,E
15,Dragon Ball Z: The Legacy of Goku,Game Boy Advance,2002,53,6.2,E
16,Metroid Fusion,Game Boy Advance,2002,92,8.8,E
17,Spyro 2: Season of Flame,Game Boy Advance,2002,76,6.4,E
18,Classic NES Series: Super Mario Bros.,Game Boy Advance,2004,84,8.2,E
19,The Legend of Zelda: The Minish Cap,Game Boy Advance,2005,89,8.8,E
20,Sonic Advance 3,Game Boy Advance,2004,79,7.9,E
21,Crash Bandicoot 2: N-Tranced,Game Boy Advance,2003,75,7.8,E
22,Golden Sun: The Lost Age,Game Boy Advance,2003,86,8.7,E
23,The Simpsons: Road Rage,Game Boy Advance,2003,55,6.7,T
24,Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,2003,75,8.6,E
25,Dragon Ball Z: Taiketsu,Game Boy Advance,2003,40,4.9,T
26,F-Zero: Maximum Velocity,Game Boy Advance,2001,86,7.9,E
27,Mario Party Advance,Game Boy Advance,2005,54,4.8,E
28,Fire Emblem,Game Boy Advance,2003,88,9.0,E
29,Castlevania: Circle of the Moon,Game Boy Advance,2001,91,8.2,T
30,Fire Emblem: The Sacred Stones,Game Boy Advance,2005,85,8.9,E
31,Metroid: Zero Mission,Game Boy Advance,2004,89,9.1,E
32,Lizzie McGuire 2: Lizzie Diaries,Game Boy Advance,2004,57,0.0,E
33,Secret Agent Barbie: Royal Jewels Mission,Game Boy Advance,2002,71,6.7,E
34,Star Wars Episode II: Attack of the Clones,Game Boy Advance,2002,38,3.7,E
35,Sword of Mana,Game Boy Advance,2003,72,8.7,E
36,Star Wars Episode III: Revenge of the Sith,Game Boy Advance,2005,73,7.7,T
37,Super Monkey Ball Jr.,Game Boy Advance,2002,82,7.2,E
38,Scooby-Doo 2: Monsters Unleashed,Game Boy Advance,2004,46,0.0,E
39,F-14 Tomcat,Game Boy Advance,2001,67,7.5,E
40,Advance Wars,Game Boy Advance,2001,92,8.7,E
41,Mario Pinball Land,Game Boy Advance,2004,62,3.9,E
42,Shrek: Hassle at the Castle,Game Boy Advance,2002,71,7.4,E
43,Yoshi Topsy-Turvy,Game Boy Advance,2005,60,7.7,E
44,Advance Wars 2: Black Hole Rising,Game Boy Advance,2003,89,8.2,E
45,Dogz,Game Boy Advance,2005,48,0.0,E
46,The Urbz: Sims in the City,Game Boy Advance,2004,72,8.3,T
47,Madden NFL 2003,Game Boy Advance,2002,76,0.0,E
48,Harry Potter and the Goblet of Fire,Game Boy Advance,2005,71,5.5,E10+
49,Harvest Moon: Friends of Mineral Town,Game Boy Advance,2003,81,7.3,E
50,Spyro Orange: The Cortex Conspiracy,Game Boy Advance,2004,60,5.3,E
51,The Lord of the Rings: The Return of the King,Game Boy Advance,2003,77,7.9,T
52,Mega Man Zero,Game Boy Advance,2002,82,8.2,E
53,Mario Tennis: Power Tour,Game Boy Advance,2005,81,8.6,E
54,Dragon Ball Z: Supersonic Warriors,Game Boy Advance,2004,73,7.5,T
55,Tactics Ogre: The Knight of Lodis,Game Boy Advance,2002,88,8.6,E
56,Need for Speed: Porsche Unleashed,Game Boy Advance,2004,62,5.4,E
57,Midnight Club: Street Racing,Game Boy Advance,2001,50,8.8,T
58,Kong: The 8th Wonder of the World,Game Boy Advance,2005,59,0.0,E10+
59,Iridion 3D,Game Boy Advance,2001,53,6.4,E
60,Dragon Ball Z: Collectible Card Game,Game Boy Advance,2002,62,0.0,E
61,Stuart Little 2,Game Boy Advance,2002,59,7.8,E
62,Scooby-Doo,Game Boy Advance,2001,64,7.5,E
63,Crash Nitro Kart,Game Boy Advance,2003,77,8.4,E
64,Tekken Advance,Game Boy Advance,2002,82,7.6,T
65,Mario Golf: Advance Tour,Game Boy Advance,2004,84,8.2,E
66,Need for Speed Underground 2,Game Boy Advance,2004,72,8.3,E
67,Mega Man Zero 2,Game Boy Advance,2003,81,7.8,E
68,Mega Man Battle Network,Game Boy Advance,2001,79,7.1,E
69,Star Wars Trilogy: Apprentice of the Force,Game Boy Advance,2004,60,6.3,E
70,Nicktoons: Freeze Frame Frenzy,Game Boy Advance,2004,53,6.3,E
71,Madden NFL 2005,Game Boy Advance,2004,79,0.0,E
72,The Sims 2,Game Boy Advance,2005,58,7.7,T
73,Harry Potter: Quidditch World Cup,Game Boy Advance,2003,53,0.0,E
74,Ice Age,Game Boy Advance,2002,47,5.9,E
75,Hamtaro: Ham-Ham Heartbreak,Game Boy Advance,2003,72,7.5,E
76,Star Wars: Flight of the Falcon,Game Boy Advance,2003,39,4.0,E
77,Driver 2 Advance,Game Boy Advance,2002,73,4.0,T
78,Shrek SuperSlam,Game Boy Advance,2005,58,7.0,E10+
79,GT Advance Championship Racing,Game Boy Advance,2001,82,7.8,E
80,Spy Kids 3-D: Game Over,Game Boy Advance,2003,62,0.0,E
81,Teenage Mutant Ninja Turtles 2: Battle Nexus,Game Boy Advance,2004,65,8.8,T
82,Sega Smash Pack,Game Boy Advance,2002,60,5.7,E
83,Madden NFL 2004,Game Boy Advance,2003,70,0.0,E
84,Mega Man Battle Network 2,Game Boy Advance,2002,81,7.1,E
85,Shrek Swamp Kart Speedway,Game Boy Advance,2002,27,6.4,E
86,Spyro: Attack of the Rhynocs,Game Boy Advance,2003,72,6.3,E
87,Lizzie McGuire 3: Homecoming Havoc,Game Boy Advance,2005,59,0.0,E
88,Charlie and the Chocolate Factory,Game Boy Advance,2005,36,6.0,E
89,Crazy Taxi: Catch a Ride,Game Boy Advance,2003,48,6.1,E
90,Yu Yu Hakusho Ghost Files: Spirit Detective,Game Boy Advance,2003,33,6.3,T
91,Need for Speed Underground,Game Boy Advance,2003,77,7.1,E
92,Duel Masters: Sempai Legends,Game Boy Advance,2004,69,0.0,E
93,Earthworm Jim,Game Boy Advance,2001,72,6.1,E
94,Tales of Phantasia,Game Boy Advance,2006,76,7.9,E10+
95,Dragon Ball GT: Transformation,Game Boy Advance,2005,69,6.7,E10+
96,X-Men: Reign of Apocalypse,Game Boy Advance,2001,61,7.1,E10+
97,Pitfall: The Mayan Adventure,Game Boy Advance,2001,58,5.8,E
