,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
0,Super Smash Bros. Melee,GameCube,2001,92,9.0,T
1,Super Mario Sunshine,GameCube,2002,92,8.3,E
2,The Legend of Zelda: The Wind Waker,GameCube,2003,96,9.0,E
3,Animal Crossing,GameCube,2002,87,8.7,E
4,Metroid Prime,GameCube,2002,97,9.0,T
5,Mario Party 4,GameCube,2002,70,7.7,E
6,Mario Party 5,GameCube,2003,69,7.7,E
7,Star Wars Rogue Leader: Rogue Squadron II,GameCube,2001,90,8.8,T
8,Star Fox Adventures,GameCube,2002,82,7.9,T
9,Mario Party 6,GameCube,2004,71,8.0,E
10,Pikmin,GameCube,2001,89,8.7,E
11,Kirby Air Ride,GameCube,2003,61,8.1,E
12,Super Mario Strikers,GameCube,2005,76,8.6,E
13,Sonic Heroes,GameCube,2004,72,7.8,E
14,The Legend of Zelda: Twilight Princess,GameCube,2006,96,8.8,T
15,Mario Party 7,GameCube,2005,64,7.8,E
16,Mario Golf: Toadstool Tour,GameCube,2003,81,8.2,E
17,Super Monkey Ball 2,GameCube,2002,87,8.1,E
18,SoulCalibur II,GameCube,2003,93,8.6,T
19,Final Fantasy: Crystal Chronicles,GameCube,2004,80,8.9,T
20,Super Monkey Ball,GameCube,2001,87,8.2,E
21,Mario Superstar Baseball,GameCube,2005,76,8.3,E
22,Donkey Kong Jungle Beat,GameCube,2005,80,8.1,E10+
23,Metroid Prime 2: Echoes,GameCube,2004,92,8.9,T
24,Pokemon XD: Gale of Darkness,GameCube,2005,64,8.1,E
25,Mario Power Tennis,GameCube,2004,80,8.3,E
26,Need for Speed Underground,GameCube,2003,83,7.4,E
27,Pikmin 2,GameCube,2004,90,9.1,E
28,Spider-Man: The Movie,GameCube,2002,76,7.2,E
29,Donkey Konga,GameCube,2004,76,7.6,E
30,Tales of Symphonia,GameCube,2004,86,8.9,T
31,Star Fox: Assault,GameCube,2005,67,8.1,T
32,Naruto: Clash of Ninja 2,GameCube,2006,74,7.6,T
33,Shrek 2,GameCube,2004,70,5.4,E
34,Shadow The Hedgehog,GameCube,2005,51,6.2,E10+
35,LEGO Star Wars II: The Original Trilogy,GameCube,2006,84,8.3,E10+
36,SpongeBob SquarePants: Battle for Bikini Bottom,GameCube,2003,71,8.3,E
37,The SpongeBob SquarePants Movie,GameCube,2004,73,7.7,E
38,Sonic Riders,GameCube,2006,59,8.2,E
39,Spider-Man 2,GameCube,2004,80,8.3,T
40,The Legend of Zelda: Four Swords Adventures,GameCube,2004,86,7.4,E
41,Star Wars Rogue Squadron III: Rebel Strike,GameCube,2003,75,7.7,T
42,Need for Speed: Hot Pursuit 2,GameCube,2002,68,7.6,E
43,Harvest Moon: A Wonderful Life,GameCube,2004,79,6.9,E
44,James Bond 007: Nightfire,GameCube,2002,80,8.3,T
45,James Bond 007: Agent Under Fire,GameCube,2002,74,6.6,T
46,Godzilla: Destroy All Monsters Melee,GameCube,2002,73,7.1,T
47,Spyro: Enter the Dragonfly,GameCube,2002,48,4.9,E
48,Madden NFL 2005,GameCube,2004,90,5.0,E
49,Dragon Ball Z: Budokai,GameCube,2003,65,7.5,T
50,Harry Potter and the Chamber of Secrets,GameCube,2002,77,8.1,E
51,The Lord of the Rings: The Return of the King,GameCube,2003,84,7.9,T
52,Naruto: Clash of Ninja,GameCube,2006,72,6.9,T
53,Madagascar,GameCube,2005,70,8.0,E10+
54,F-Zero GX,GameCube,2003,89,8.7,T
55,Madden NFL 07,GameCube,2006,82,7.3,E
56,Viewtiful Joe,GameCube,2003,93,7.9,T
57,Madden NFL 2002,GameCube,2001,89,0.0,E
58,Wave Race: Blue Storm,GameCube,2001,80,7.8,E
59,Medal of Honor: Frontline,GameCube,2002,80,7.7,T
60,Crash Bandicoot: The Wrath of Cortex,GameCube,2002,62,6.7,E
61,Madden NFL 06,GameCube,2005,86,6.8,E
