,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
0,Super Mario 64,Nintendo 64,1996,94,9.1,E
1,Mario Kart 64,Nintendo 64,1997,83,8.5,K-A
2,GoldenEye 007,Nintendo 64,1997,96,8.9,T
3,The Legend of Zelda: Ocarina of Time,Nintendo 64,1998,99,9.1,E
4,Super Smash Bros.,Nintendo 64,1999,79,8.6,E
5,Donkey Kong 64,Nintendo 64,1999,90,8.5,E
6,Diddy Kong Racing,Nintendo 64,1997,88,8.4,K-A
7,Star Fox 64,Nintendo 64,1997,88,8.7,K-A
8,Banjo-Kazooie,Nintendo 64,1998,92,9.1,E
9,Pokemon Snap,Nintendo 64,1999,77,7.7,E
10,Wave Race 64,Nintendo 64,1996,92,8.4,K-A
11,Mario Party,Nintendo 64,1999,79,8.0,E
12,Mario Tennis,Nintendo 64,2000,91,8.6,E
13,Mario Party 3,Nintendo 64,2001,74,8.2,E
14,Turok 2: Seeds of Evil,Nintendo 64,1998,86,8.2,M
15,Kirby 64: The Crystal Shards,Nintendo 64,2000,77,8.2,E
16,007: The World is not Enough,Nintendo 64,2000,81,7.9,T
17,WWF No Mercy,Nintendo 64,2000,89,8.1,T
18,Banjo-Tooie,Nintendo 64,2000,90,8.8,E
19,Mario Golf,Nintendo 64,1999,91,7.6,E
20,Paper Mario,Nintendo 64,2001,93,9.0,E
21,Jet Force Gemini,Nintendo 64,1999,80,8.7,T
22,Pilotwings 64,Nintendo 64,1996,80,7.6,K-A
23,F-Zero X,Nintendo 64,1998,85,8.7,E
24,Excitebike 64,Nintendo 64,2000,88,8.4,E
25,Blast Corps,Nintendo 64,1997,90,8.2,K-A
26,Rayman 2: The Great Escape,Nintendo 64,1999,90,8.7,E
27,Madden NFL 2001,Nintendo 64,2000,89,0.0,E
28,Extreme-G,Nintendo 64,1997,82,8.0,K-A
29,NFL Blitz 2000,Nintendo 64,1999,85,7.4,E
30,Rugrats in Paris: The Movie,Nintendo 64,2000,64,4.0,E
31,Harvest Moon 64,Nintendo 64,1999,78,8.3,E
32,Pokemon Puzzle League,Nintendo 64,2000,81,8.1,E
33,Madden NFL 2002,Nintendo 64,2001,78,0.0,E
34,WipEout 64,Nintendo 64,1998,84,7.2,E
35,Dr. Mario 64,Nintendo 64,2001,71,6.7,E
36,NFL Blitz 2001,Nintendo 64,2000,72,4.3,E
37,Mystical Ninja starring Goemon,Nintendo 64,1998,67,8.3,E
38,Star Wars Episode I: Battle for Naboo,Nintendo 64,2000,84,8.0,T
39,Ready 2 Rumble Boxing: Round 2,Nintendo 64,2000,64,6.0,T
40,Body Harvest,Nintendo 64,1998,73,8.1,T
41,San Francisco Rush 2049,Nintendo 64,2000,86,6.2,E
42,Quake,Nintendo 64,1998,74,6.7,M
43,World Driver Championship,Nintendo 64,1999,75,8.5,E
44,Starcraft 64,Nintendo 64,2000,80,6.8,T
45,Space Station Silicon Valley,Nintendo 64,1998,83,7.6,E
46,WCW Backstage Assault,Nintendo 64,2000,48,5.0,T
47,NFL QB Club 2001,Nintendo 64,2000,57,0.0,E
48,Aidyn Chronicles: The First Mage,Nintendo 64,2001,53,7.2,T
49,Batman Beyond: Return of the Joker,Nintendo 64,2000,24,3.4,E
50,Fighter Destiny 2,Nintendo 64,2000,54,6.9,T
51,Hercules: The Legendary Journeys,Nintendo 64,2000,55,7.3,T
52,Blues Brothers 2000,Nintendo 64,2000,32,3.7,E
53,Turok: Dinosaur Hunter,Nintendo 64,1997,85,8.2,M
54,Rally Challenge 2000,Nintendo 64,2000,41,5.9,E
55,Looney Tunes Duck Dodgers Starring: Daffy Duck,Nintendo 64,2000,69,7.8,E
56,PGA European Tour,Nintendo 64,2000,58,7.7,E
